ICDID,geneID
011,"[1154, 3431, 3458, 3459, 6347, 6556, 7097, 30835, 114609, 345611]"
027,[]
030,[5071]
031,"[1154, 3431, 3458, 3459, 6347, 6556, 7097, 30835, 114609, 345611]"
032,[]
041,[5803]
042,[]
045,[]
046,"[216, 3119, 3822, 5621, 7280, 8360, 22926, 79644, 79974, 151507, 319101, 692157, 780851]"
055,[]
061,[]
074,[]
078,"[399, 3574, 10519, 11322, 147138]"
079,[]
084,[]
085,[]
094,"[3329, 3798, 5354, 6683, 6687, 26278, 51062, 57679, 123606]"
112,[]
117,[1910]
120,[]
135,[]
142,[]
143,"[7030, 79058]"
147,[]
150,"[1630, 1956, 6049, 7048, 11178, 49860, 51741]"
151,"[70, 123, 153, 154, 174, 186, 191, 196, 207, 208, 213, 220, 226, 229, 238, 240, 242, 301, 308, 324, 328, 329, 332, 335, 356, 361, 369, 374, 383, 387, 467, 472, 501, 545, 558, 595, 598, 627, 637, 645, 650, 655, 664, 673, 675, 688, 759, 760, 768, 814, 822, 841, 843, 847, 857, 864, 894, 902, 928, 931, 960, 972, 999, 1000, 1012, 1019, 1026, 1027, 1029, 1030, 1032, 1075, 1113, 1152, 1182, 1201, 1294, 1316, 1365, 1387, 1432, 1440, 1454, 1469, 1474, 1495, 1496, 1499, 1514, 1540, 1548, 1553, 1571, 1612, 1636, 1642, 1645, 1647, 1674, 1728, 1786, 1789, 1798, 1806, 1839, 1845, 1869, 1870, 1871, 1875, 1876, 1890, 1892, 1893, 1915, 1917, 1956, 1967, 2023, 2026, 2033, 2042, 2044, 2046, 2064, 2067, 2068, 2074, 2081, 2091, 2149, 2182, 2194, 2203, 2254, 2260, 2261, 2263, 2264, 2266, 2272, 2286, 2305, 2309, 2321, 2475, 2520, 2534, 2547, 2597, 2618, 2696, 2729, 2737, 2791, 2810, 2898, 2909, 2946, 2950, 2956, 2986, 3028, 3070, 3091, 3098, 3099, 3148, 3162, 3178, 3191, 3199, 3265, 3280, 3312, 3315, 3329, 3350, 3384, 3400, 3420, 3486, 3490, 3553, 3557, 3569, 3570, 3576, 3586, 3604, 3615, 3621, 3645, 3646, 3654, 3656, 3659, 3678, 3688, 3691, 3725, 3726, 3761, 3791, 3799, 3814, 3815, 3838, 3843, 3845, 3856, 3918, 3921, 3939, 3956, 3958, 3992, 4000, 4001, 4074, 4089, 4139, 4193, 4233, 4291, 4292, 4297, 4312, 4316, 4318, 4319, 4320, 4342, 4437, 4487, 4502, 4504, 4524, 4582, 4588, 4595, 4599, 4609, 4691, 4695, 4719, 4723, 4736, 4750, 4751, 4780, 4826, 4846, 4853, 4854, 4869, 4893, 4907, 4915, 4916, 4921, 4968, 5002, 5021, 5036, 5052, 5054, 5055, 5071, 5080, 5092, 5160, 5223, 5243, 5245, 5265, 5290, 5325, 5328, 5468, 5478, 5480, 5518, 5524, 5530, 5550, 5562, 5564, 5579, 5591, 5594, 5595, 5599, 5604, 5605, 5610, 5621, 5655, 5728, 5743, 5744, 5792, 5793, 5829, 5832, 5885, 5886, 5894, 5915, 5918, 5921, 5925, 5947, 5950, 5979, 5984, 5997, 6009, 6016, 6095, 6098, 6137, 6138, 6141, 6157, 6173, 6182, 6194, 6209, 6223, 6227, 6231, 6236, 6240, 6241, 6257, 6304, 6385, 6440, 6470, 6472, 6506, 6565, 6573, 6597, 6599, 6615, 6628, 6637, 6648, 6654, 6657, 6700, 6721, 6723, 6774, 6794, 6795, 6855, 6926, 7015, 7018, 7022, 7039, 7056, 7078, 7080, 7083, 7124, 7153, 7157, 7158, 7167, 7170, 7262, 7270, 7273, 7291, 7298, 7345, 7371, 7372, 7409, 7422, 7508, 7515, 7517, 7520, 7730, 8000, 8048, 8125, 8148, 8189, 8190, 8202, 8260, 8289, 8314, 8347, 8408, 8434, 8516, 8530, 8611, 8626, 8644, 8660, 8671, 8711, 8743, 8744, 8761, 8801, 8802, 8857, 8890, 8893, 8991, 9064, 9113, 9123, 9136, 9180, 9212, 9235, 9277, 9304, 9497, 9510, 9582, 9625, 9725, 9748, 9788, 9805, 9817, 10087, 10110, 10131, 10148, 10171, 10179, 10188, 10232, 10330, 10360, 10395, 10397, 10452, 10468, 10476, 10528, 10550, 10568, 10574, 10769, 10922, 10961, 11051, 11186, 11197, 11200, 22948, 23028, 23201, 23212, 23246, 23521, 23532, 23556, 23603, 25824, 25865, 25878, 26135, 26137, 26227, 26519, 26524, 26585, 26750, 27034, 27102, 27131, 27145, 27330, 27339, 27347, 27436, 28969, 28973, 28998, 29098, 29108, 29777, 29894, 29968, 30834, 50813, 51035, 51042, 51082, 51196, 51280, 51292, 51303, 51347, 51501, 51592, 51594, 51602, 51614, 51728, 51741, 53635, 54433, 54458, 54474, 54739, 54894, 55342, 55379, 55681, 55739, 55743, 55783, 55829, 56287, 56342, 56915, 57099, 57144, 57610, 58499, 58508, 59082, 59340, 60487, 63826, 64841, 64963, 64969, 65084, 65125, 79187, 79633, 79711, 79733, 79852, 79887, 80324, 80328, 81037, 81605, 83743, 83998, 84364, 84444, 84527, 84634, 84654, 84700, 84790, 84981, 85481, 90338, 90355, 94081, 116135, 125997, 131566, 138474, 140803, 144455, 159989, 245972, 253260, 283106, 283455, 387775, 389840, 406913, 406919, 406936, 406937, 406979, 406988, 407021, 407031, 442910, 442911, 553158, 574030, 574456, 645249, 693223, 100124700, 100128252, 100302142, 100507056, 101928376]"
