OMIMID,geneID
100070,"[183, 185, 1281, 4318, 4323, 5743, 6648, 59272, 153090, 653361]"
100100,[1131]
100200,[]
100300,"[3516, 4851, 54567, 57514, 57572, 285203]"
100600,[]
100650,[]
100800,[2261]
100820,[]
101000,[4771]
101200,"[2263, 7291]"
101400,"[2261, 2263, 7291]"
101600,"[2260, 2263, 7291]"
101800,"[5144, 5573]"
101850,[]
101900,[488]
102150,[10060]
102200,"[2688, 2778, 5617, 9049, 64072, 83550]"
102370,"[2200, 4054, 4087, 7040, 9719]"
102400,[10269]
102500,[4853]
102510,[3549]
102530,"[4846, 5819, 25945, 83893]"
102700,[100]
102900,[5313]
103050,[158]
103100,[]
103200,[]
103285,[8626]
103470,"[4286, 7299]"
103500,[4286]
103580,[2778]
103780,"[9, 28, 111, 113, 124, 125, 126, 127, 128, 130, 131, 150, 216, 217, 222, 238, 348, 367, 410, 460, 627, 635, 815, 833, 847, 885, 886, 1003, 1006, 1007, 1008, 1009, 1010, 1012, 1013, 1016, 1080, 1109, 1129, 1136, 1137, 1138, 1142, 1143, 1268, 1269, 1312, 1385, 1392, 1393, 1394, 1496, 1553, 1555, 1571, 1621, 1636, 1808, 1812, 1813, 1814, 1815, 1892, 1950, 1956, 2030, 2033, 2046, 2052, 2169, 2185, 2289, 2348, 2488, 2534, 2550, 2554, 2555, 2558, 2559, 2560, 2561, 2562, 2565, 2566, 2567, 2569, 2570, 2571, 2596, 2597, 2626, 2670, 2678, 2688, 2693, 2736, 2752, 2897, 2899, 2902, 2903, 2904, 2911, 2912, 2913, 2917, 2918, 3066, 3122, 3146, 3176, 3350, 3351, 3356, 3358, 3359, 3363, 3553, 3557, 3569, 3586, 3605, 3763, 3839, 3952, 3972, 4128, 4129, 4155, 4313, 4318, 4336, 4340, 4524, 4676, 4684, 4790, 4835, 4852, 4887, 4889, 4898, 4915, 4922, 4923, 4929, 4985, 4986, 4987, 4988, 5002, 5020, 5142, 5173, 5295, 5443, 5726, 5924, 5972, 5981, 5992, 5999, 6303, 6462, 6506, 6529, 6530, 6531, 6532, 6571, 6622, 6625, 6715, 6716, 6863, 6869, 6870, 7018, 7021, 7054, 7086, 7157, 7166, 7200, 7262, 7450, 7520, 7803, 7804, 7971, 8462, 8484, 8644, 8777, 8836, 8863, 8910, 9037, 9095, 9177, 9369, 9531, 9575, 9607, 9674, 9705, 9709, 10243, 10280, 10327, 10399, 10420, 10438, 10846, 11024, 23174, 23189, 23237, 23469, 23552, 25976, 26047, 26503, 26523, 27123, 27161, 27255, 28232, 29114, 50628, 50833, 51083, 51194, 51294, 51324, 54360, 54970, 55833, 56311, 56923, 57001, 57453, 57502, 57575, 57817, 63876, 64682, 79068, 79570, 80731, 84152, 84251, 85439, 113201, 113235, 114879, 152330, 154215, 255239, 347735, 374879, 387129, 387357, 400359, 494331, 594857, 677833]"
103900,"[1584, 1585]"
104000,[55806]
104100,[2697]
104200,[1285]
104290,"[477, 478]"
