diseaseID,geneID
C0000737,[3440]
C0000744,[4547]
C0000768,"[156, 1295, 1317, 2138, 2332, 2348, 4851, 6299, 6495, 9314, 10683]"
C0000771,"[387, 847, 2052, 7481, 51185]"
C0000772,"[406, 1055, 1147, 1499, 2263, 2852, 2932, 5424, 5728, 7044, 8626, 8942, 9378, 23498, 26040, 27125, 55191]"
C0000786,"[185, 196, 251, 348, 405, 634, 924, 925, 968, 969, 1048, 1277, 1278, 1288, 1289, 1290, 1291, 1293, 1298, 1305, 1440, 1543, 1591, 1719, 1842, 1893, 2012, 2252, 2335, 2537, 2744, 3026, 3292, 3430, 3446, 3479, 3481, 3484, 3486, 3489, 3553, 3568, 3569, 3578, 3589, 3593, 3603, 3623, 3627, 3691, 3694, 3717, 3732, 3910, 3958, 3976, 4133, 4247, 4256, 4316, 4320, 4321, 4324, 4327, 4585, 4680, 4684, 5047, 5228, 5618, 5655, 5740, 5744, 5950, 6317, 6318, 6750, 7037, 7040, 7045, 7046, 7077, 7078, 7143, 7185, 8741, 8743, 8763, 8832, 9332, 10321, 10468, 10561, 10615, 10666, 10824, 11009, 22924, 23753, 23767, 26998, 27159, 51554, 53832, 56145, 56547, 56891, 59272, 80034]"
C0000809,"[9586, 50511]"
C0000821,[10464]
C0000822,"[185, 196, 251, 348, 405, 634, 924, 925, 968, 969, 1048, 1277, 1278, 1288, 1289, 1290, 1291, 1293, 1298, 1305, 1440, 1543, 1591, 1719, 1842, 1893, 2012, 2252, 2335, 2537, 2744, 3026, 3292, 3430, 3446, 3479, 3481, 3484, 3486, 3489, 3553, 3568, 3569, 3578, 3589, 3593, 3603, 3623, 3627, 3691, 3694, 3717, 3732, 3910, 3958, 3976, 4133, 4247, 4256, 4316, 4320, 4321, 4324, 4327, 4585, 4680, 4684, 5047, 5228, 5618, 5655, 5740, 5744, 5950, 6317, 6318, 6750, 7037, 7040, 7045, 7046, 7077, 7078, 7143, 7185, 8741, 8743, 8763, 8832, 9332, 10321, 10468, 10561, 10615, 10666, 10824, 11009, 22924, 23753, 23767, 26998, 27159, 51554, 53832, 56145, 56547, 56891, 59272, 80034]"
C0000832,"[635, 4522, 4846]"
C0001080,[2261]
C0001122,"[4780, 389015]"
C0001125,"[4567, 5160, 5327, 10059, 50484, 55210]"
C0001126,"[2299, 6521, 6559, 8671]"
C0001144,"[4210, 9051, 64127, 114548]"
C0001175,"[3439, 3458, 3558]"
C0001193,"[2263, 7291]"
C0001197,"[3710, 5698, 55630]"
C0001206,"[2688, 2778, 3479, 9049, 83550]"
C0001231,[5443]
C0001338,"[3661, 7098, 7187, 81622, 148022]"
C0001349,[283]
C0001364,"[5591, 24145]"
C0001403,"[326, 4261, 23274]"
C0001418,"[25, 240, 242, 324, 332, 335, 348, 563, 595, 596, 634, 759, 760, 780, 841, 864, 1028, 1029, 1152, 1490, 1499, 1548, 1571, 1588, 1592, 1612, 1636, 1786, 1938, 1950, 1956, 2023, 2064, 2099, 2100, 2202, 2254, 2475, 2520, 2543, 2878, 2886, 3206, 3312, 3329, 3399, 3439, 3553, 3576, 3784, 3791, 3845, 3856, 4233, 4288, 4297, 4323, 4354, 4583, 4609, 4790, 4846, 4878, 4968, 5074, 5111, 5223, 5241, 5245, 5265, 5290, 5328, 5468, 5587, 5617, 5728, 5731, 5743, 5781, 5915, 6091, 6599, 6648, 6696, 6774, 6776, 6794, 6847, 6934, 7040, 7124, 7157, 7170, 7306, 7367, 7422, 8202, 8289, 8626, 8797, 8856, 8991, 9420, 10232, 10266, 11186, 29108, 51196, 51292, 51738, 54474, 56287, 58508, 59340, 79633, 143187]"
C0001430,"[240, 324, 476, 489, 492, 596, 598, 776, 1499, 1545, 2697, 2705, 3479, 3762, 3845, 4552, 4583, 4763, 5617, 5757, 6414, 6573, 6948, 7157, 7253, 7296, 7428, 9049, 9429, 23512, 23600, 54822, 406936, 442910, 494337, 574456]"
C0001546,[10014]
C0001614,[5443]
C0001618,"[2771, 5573, 7157]"
C0001621,[1081]
C0001623,"[215, 1583, 2516, 8879]"
