G_G_Type,Frequency,Diff_Corr,Diff_RR,source,target
001-139:Infectious And Parasitic Diseases_001-139:Infectious And Parasitic Diseases,3,0.0697770512020654,6.399951802818878,001-139:Infectious And Parasitic Diseases,001-139:Infectious And Parasitic Diseases
"001-139:Infectious And Parasitic Diseases_240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",1,0.022646940336194597,3.7241117248671465,001-139:Infectious And Parasitic Diseases,"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
001-139:Infectious And Parasitic Diseases_290-319:Mental Disorders,1,0.0105281022107852,2.548638351751553,001-139:Infectious And Parasitic Diseases,290-319:Mental Disorders
001-139:Infectious And Parasitic Diseases_390-459:Diseases Of The Circulatory System,1,0.0158651880175286,4.38012763663554,001-139:Infectious And Parasitic Diseases,390-459:Diseases Of The Circulatory System
001-139:Infectious And Parasitic Diseases_460-519:Diseases Of The Respiratory System,5,0.1278074804564802,16.705708567341716,001-139:Infectious And Parasitic Diseases,460-519:Diseases Of The Respiratory System
001-139:Infectious And Parasitic Diseases_520-579:Diseases Of The Digestive System,1,0.013416139516262159,1.9319444687644096,001-139:Infectious And Parasitic Diseases,520-579:Diseases Of The Digestive System
001-139:Infectious And Parasitic Diseases_580-629:Diseases Of The Genitourinary System,1,0.0237879620602498,2.8717250406210506,001-139:Infectious And Parasitic Diseases,580-629:Diseases Of The Genitourinary System
"001-139:Infectious And Parasitic Diseases_780-799:Symptoms, Signs, And Ill-Defined Conditions",3,0.0540227576344875,10.450697907866918,001-139:Infectious And Parasitic Diseases,"780-799:Symptoms, Signs, And Ill-Defined Conditions"
140-239:Neoplasms_001-139:Infectious And Parasitic Diseases,3,0.0702392190720868,12.068479725797037,140-239:Neoplasms,001-139:Infectious And Parasitic Diseases
140-239:Neoplasms_460-519:Diseases Of The Respiratory System,1,0.0018970414462789,1.3822992878743539,140-239:Neoplasms,460-519:Diseases Of The Respiratory System
"140-239:Neoplasms_780-799:Symptoms, Signs, And Ill-Defined Conditions",1,0.0108137059783574,3.513350069456991,140-239:Neoplasms,"780-799:Symptoms, Signs, And Ill-Defined Conditions"
"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders_001-139:Infectious And Parasitic Diseases",5,0.08003044462917,9.516706513915437,"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",001-139:Infectious And Parasitic Diseases
"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders_240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",1,0.0075304915554109016,1.0918589953006652,"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders_460-519:Diseases Of The Respiratory System",3,0.0480223578063005,5.896978575538608,"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",460-519:Diseases Of The Respiratory System
"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders_580-629:Diseases Of The Genitourinary System",1,0.0158855614425244,3.6422943952558526,"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",580-629:Diseases Of The Genitourinary System
"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders_780-799:Symptoms, Signs, And Ill-Defined Conditions",2,0.0278449436438086,4.252917595315938,"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","780-799:Symptoms, Signs, And Ill-Defined Conditions"
280-289:Diseases Of The Blood And Blood-Forming Organs_001-139:Infectious And Parasitic Diseases,3,0.0447427146817969,4.282848485076669,280-289:Diseases Of The Blood And Blood-Forming Organs,001-139:Infectious And Parasitic Diseases
280-289:Diseases Of The Blood And Blood-Forming Organs_290-319:Mental Disorders,1,0.0167114894532128,3.6439299794985023,280-289:Diseases Of The Blood And Blood-Forming Organs,290-319:Mental Disorders
