edge,edge num (treat),total num (treat),node num (source) (treat),node num (target) (treat),RR (treat),Correlation (treat),edge num (control),total num (control),node num (source) (control),node num (target) (control),RR (control),Correlation (control),source,target,p_value,source (int),target (int),Diff_RR,Diff_Corr
"['ICD9 401', 'ICD9 272']",1013,50296,11223,2995,1.5157832480014732,0.0695579201441706,2443.0,100592.0,22348.0,7669.0,1.4338691124028844,0.0666132004784347,ICD9 401,ICD9 272,4.2830930691604133e-07,401,272,1.0571280425040448,0.0029447196657358954
"['ICD9 250', 'ICD9 272']",506,50296,6364,2995,1.33523272078228,0.0321058558951824,1204.0,100592.0,12914.0,7669.0,1.2228984937881993,0.0245753643397715,ICD9 250,ICD9 272,0.001052520231107,250,272,1.0918589953006652,0.0075304915554109016
"['ICD9 780', 'ICD9 272']",259,50296,6468,2995,0.6724598717920922,-0.0316618980391716,683.0,100592.0,13383.0,7669.0,0.6694095917924144,-0.0372043817592652,ICD9 780,ICD9 272,0.0001576778350003,780,272,1.0045566720839931,0.005542483720093604
"['ICD9 272', 'ICD9 786']",230,50296,6921,1407,1.18795047817038,0.0127364849674968,387.0,100592.0,13579.0,2880.0,0.9954378083805876,-0.0003094123454622,ICD9 272,ICD9 786,0.0413933554488945,272,786,1.1933949747227088,0.013045897312959001
"['ICD9 401', 'ICD9 079']",205,50296,11223,879,1.0451761005581643,0.0032290970164963,101.0,100592.0,22348.0,523.0,0.8692495313998866,-0.005051706700125,ICD9 401,ICD9 079,1.5347721867408325e-35,401,079,1.2023890296207076,0.0082808037166213
"['ICD9 780', 'ICD9 079']",154,50296,6468,879,1.362370659298987,0.0185660046299304,90.0,100592.0,13383.0,523.0,1.2934533966138655,0.0083106748447518,ICD9 780,ICD9 079,1.0356907986795593e-22,780,079,1.0532815970529283,0.0102553297851786
"['ICD9 250', 'ICD9 079']",142,50296,6364,879,1.2767408252764234,0.0140476629620655,63.0,100592.0,12914.0,523.0,0.9382995791248532,-0.0017118837313166,ICD9 250,ICD9 079,2.0449822469848928e-27,250,079,1.3606963635934193,0.015759546693382098
"['ICD9 486', 'ICD9 519']",134,50296,2595,804,3.230314707771355,0.0663027603969847,58.0,100592.0,5424.0,334.0,3.220514722766856,0.030597203938987,ICD9 486,ICD9 519,1.8056487957852556e-26,486,519,1.0030429871769317,0.035705556457997695
"['ICD9 486', 'ICD9 079']",130,50296,2595,879,2.8664908669643423,0.0580613403874552,63.0,100592.0,5424.0,523.0,2.2339971911538266,0.0212975479563429,ICD9 486,ICD9 079,2.3491128086723967e-23,486,079,1.283121965557997,0.0367637924311123
"['ICD9 272', 'ICD9 079']",124,50296,6921,879,1.0251735867113314,0.0013411150238781,63.0,100592.0,13579.0,523.0,0.8923485355930743,-0.0030744174006744,ICD9 272,ICD9 079,2.2138899728246004e-21,272,079,1.1488488475301624,0.004415532424552501
"['ICD9 272', 'ICD9 519']",121,50296,6921,804,1.0936891902286,0.0047699594630485,37.0,100592.0,13579.0,334.0,0.8206366558436261,-0.0040896790856291,ICD9 272,ICD9 519,2.251421967868322e-30,272,519,1.332732558850021,0.0088596385486776
"['ICD9 599', 'ICD9 272']",105,50296,3542,2995,0.4978257570258732,-0.0347802402720454,265.0,100592.0,7375.0,7669.0,0.4713120619885031,-0.0427209214183841,ICD9 599,ICD9 272,0.0489399006793654,599,272,1.0562550742399985,0.007940681146338703
"['ICD9 038', 'ICD9 079']",102,50296,2868,879,2.0350055454800766,0.0339446311397069,50.0,100592.0,5873.0,523.0,1.6374639883916382,0.0114754088690736,ICD9 038,ICD9 079,2.1168853905973508e-18,038,079,1.2427788091260037,0.0224692222706333
"['ICD9 038', 'ICD9 519']",100,50296,2868,804,2.1812138748378054,0.0370221153662203,39.0,100592.0,5873.0,334.0,1.9999612557619308,0.0143717064036649,ICD9 038,ICD9 519,1.0630391360765998e-21,038,519,1.0906280651956042,0.0226504089625554
