ICDID,geneID,geneID_num,geneID_new,geneID_new_num,geneId_LCC,Num_geneId_LCC
ICD9 002,[3123],1,set(),0,[3123],1
ICD9 005,[3240],1,set(),0,[3240],1
ICD9 010,"[3240, 6556, 11151, 114609]",4,set(),0,"[3240, 6556, 11151, 114609]",4
ICD9 011,"[1154, 3240, 3431, 3458, 3459, 6347, 6556, 7097, 11151, 30835, 50807, 114609, 345611]",13,"{7097, 1154, 345611, 3431}",4,"[1154, 3240, 3431, 3458, 3459, 6347, 6556, 7097, 11151, 30835, 50807, 114609, 345611]",13
ICD9 012,"[3240, 6556, 11151, 114609]",4,set(),0,"[3240, 6556, 11151, 114609]",4
ICD9 013,"[3240, 6556, 11151, 114609]",4,set(),0,"[3240, 6556, 11151, 114609]",4
ICD9 014,"[3240, 6556, 11151, 114609]",4,set(),0,"[3240, 6556, 11151, 114609]",4
ICD9 015,"[3240, 6556, 11151, 114609]",4,set(),0,"[3240, 6556, 11151, 114609]",4
ICD9 016,"[3240, 6556, 11151, 114609]",4,set(),0,"[3240, 6556, 11151, 114609]",4
ICD9 017,"[3240, 6556, 11151, 114609]",4,set(),0,"[3240, 6556, 11151, 114609]",4
ICD9 018,"[3240, 6556, 11151, 114609]",4,set(),0,"[3240, 6556, 11151, 114609]",4
ICD9 023,[4864],1,set(),0,[4864],1
ICD9 025,[7100],1,set(),0,[7100],1
ICD9 027,"[1540, 7124]",2,set(),0,"[1540, 7124]",2
ICD9 030,"[4049, 5071, 6556, 7096, 7097, 10981, 55509, 149233, 283234]",9,set(),0,"[4049, 5071, 6556, 7096, 7097, 10981, 55509, 149233, 283234]",9
ICD9 031,"[1154, 3431, 3458, 3459, 6347, 6556, 6772, 7097, 30835, 114609, 345611]",11,"{1154, 3458, 3431, 345611, 6347, 114609, 30835, 7097}",8,"[1154, 3431, 3458, 3459, 6347, 6556, 6772, 7097, 30835, 114609, 345611]",11
ICD9 036,"[735, 1636, 1675, 3075, 5199, 6556, 10878]",7,set(),0,"[735, 1636, 1675, 3075, 5199, 6556, 10878]",7
ICD9 038,"[133, 135, 136, 284, 836, 1440, 3146, 3440, 3458, 3579, 3586, 3929, 4049, 4282, 4318, 4843, 4846, 5594, 5595, 5624, 7040, 7045, 7099, 7124]",24,set(),0,"[133, 135, 136, 284, 836, 1440, 3146, 3440, 3458, 3579, 3586, 3929, 4049, 4282, 4318, 4843, 4846, 5594, 5595, 5624, 7040, 7045, 7099, 7124]",24
ICD9 040,"[358, 728, 2638, 3122, 4843, 7124]",6,set(),0,"[358, 728, 2638, 3122, 4843, 7124]",6
ICD9 041,"[5243, 5803]",2,{5803},1,"[5243, 5803]",2
ICD9 042,"[154, 213, 329, 330, 335, 393, 396, 397, 581, 940, 998, 1026, 1192, 1232, 1524, 1647, 1973, 1978, 2208, 2971, 3068, 3106, 3107, 3240, 3313, 3315, 3320, 3326, 3329, 3458, 3558, 3559, 3566, 3577, 3586, 3608, 3692, 3811, 3837, 4067, 4150, 4153, 4193, 4927, 4953, 4968, 5265, 5479, 5685, 5686, 5687, 5692, 5699, 5702, 5705, 5709, 5714, 5719, 5720, 5721, 5727, 5901, 5902, 6347, 6348, 6349, 6356, 6387, 6421, 6426, 6556, 6634, 6722, 6880, 7098, 7203, 7266, 7307, 7528, 8662, 8683, 9230, 9531, 9861, 10189, 10197, 10204, 10280, 10436, 10527, 10574, 10594, 10808, 10946, 10980, 10981, 22948, 23198, 23411, 30835, 64411, 80273, 85363]",103,set(),0,"[154, 213, 329, 330, 335, 393, 396, 397, 581, 940, 998, 1026, 1192, 1232, 1524, 1647, 1973, 1978, 2208, 2971, 3068, 3106, 3107, 3240, 3313, 3315, 3320, 3326, 3329, 3458, 3558, 3559, 3566, 3577, 3586, 3608, 3692, 3811, 3837, 4067, 4150, 4153, 4193, 4927, 4953, 4968, 5265, 5479, 5685, 5686, 5687, 5692, 5699, 5702, 5705, 5709, 5714, 5719, 5720, 5721, 5727, 5901, 5902, 6347, 6348, 6349, 6356, 6387, 6421, 6426, 6556, 6634, 6722, 6880, 7098, 7203, 7266, 7307, 7528, 8662, 8683, 9230, 9531, 9861, 10189, 10197, 10204, 10280, 10436, 10527, 10574, 10594, 10808, 10946, 10980, 10981, 22948, 23198, 23411, 30835, 64411, 80273, 85363]",103
ICD9 045,[5817],1,set(),0,[5817],1
ICD9 046,"[216, 3119, 3822, 5621, 7280, 8360, 22926, 79644, 79974, 151507, 319101, 692157, 780851]",13,set(),0,"[216, 3119, 3822, 5621, 7280, 8360, 22926, 79644, 79974, 151507, 319101]",11
ICD9 054,"[3661, 5818, 5819, 7098, 7187, 29110, 81622, 148022]",8,set(),0,"[3661, 5818, 5819, 7098, 7187, 29110, 81622, 148022]",8
ICD9 055,[4179],1,set(),0,[4179],1
ICD9 061,[30835],1,set(),0,[30835],1
ICD9 066,[1234],1,set(),0,[1234],1
ICD9 070,"[949, 975, 1234, 1548, 1576, 3077, 3440, 3458, 4015, 4017, 4023, 4988, 5788, 23586, 282617]",15,set(),0,"[949, 975, 1234, 1548, 1576, 3077, 3440, 3458, 4015, 4017, 4023, 4988, 5788, 23586, 282617]",15
ICD9 078,"[399, 3574, 6772, 7415, 10519, 11322, 147138]",7,"{10519, 3574, 399}",3,"[399, 3574, 6772, 7415, 10519, 11322, 147138]",7
ICD9 079,[1636],1,set(),0,[1636],1
ICD9 083,"[1718, 3156, 3949, 4047, 10211, 10411]",6,set(),0,"[1718, 3156, 3949, 4047, 10211, 10411]",6
ICD9 084,"[355, 948, 1154, 1378, 1401, 2212, 2213, 2532, 2539, 2993, 2994, 2995, 3043, 3240, 3383, 4055, 4843, 6320, 6521, 7124, 114609, 259197]",22,set(),0,"[355, 948, 1154, 1378, 1401, 2212, 2213, 2532, 2539, 2993, 2994, 2995, 3043, 3240, 3383, 4055, 4843, 6320, 6521, 7124, 114609, 259197]",22
