source,distance (DIFF),type
ICD9 079,1.0,negative
ICD9 079,1.0,negative
ICD9 079,1.0,negative
ICD9 079,1.076923076923077,negative
ICD9 079,1.0,negative
ICD9 079,1.0,negative
ICD9 079,1.0,negative
ICD9 079,1.0,negative
ICD9 079,1.0,negative
ICD9 079,1.0,negative
ICD9 079,1.0,negative
ICD9 079,2.0,negative
ICD9 079,1.0,negative
ICD9 079,2.0,negative
ICD9 079,1.222222222222222,negative
ICD9 079,0.9090909090909092,negative
ICD9 079,0.7142857142857142,negative
ICD9 079,1.4999999999999998,negative
ICD9 079,2.0,negative
ICD9 079,1.4563106796116507,negative
ICD9 079,3.0,negative
ICD9 079,1.3636363636363635,negative
ICD9 079,1.75,negative
ICD9 079,2.0,negative
ICD9 079,1.0,negative
ICD9 079,0.0,negative
ICD9 079,1.4666666666666666,negative
ICD9 079,1.142857142857143,negative
ICD9 079,1.3333333333333333,negative
ICD9 079,1.5454545454545456,negative
ICD9 079,1.4000000000000001,negative
ICD9 079,1.0,negative
ICD9 079,1.0,negative
ICD9 079,1.2222222222222225,negative
ICD9 079,1.0,negative
ICD9 079,1.5,negative
ICD9 079,1.0,negative
ICD9 079,1.4999999999999998,negative
ICD9 079,2.0,negative
ICD9 079,2.0,negative
ICD9 079,1.0,negative
ICD9 079,1.0,negative
ICD9 079,1.2173913043478262,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.337837837837838,negative
ICD9 079,1.3873873873873876,negative
ICD9 079,1.318840579710145,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3913043478260871,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.338235294117647,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3623188405797102,negative
ICD9 079,1.3405797101449275,negative
ICD9 079,1.384251968503937,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3379091869060191,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3141361256544501,negative
ICD9 079,1.294871794871795,negative
ICD9 079,1.3187499999999999,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3291139240506329,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3623188405797102,negative
ICD9 079,1.3808290155440417,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3428571428571439,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3486238532110089,negative
ICD9 079,1.337837837837838,negative
ICD9 079,1.3271028037383177,negative
ICD9 079,1.3478260869565215,negative
ICD9 079,1.3769730733519032,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.338235294117647,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3421052631578958,negative
ICD9 079,1.3571428571428577,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3139534883720931,negative
ICD9 079,1.3072916666666667,negative
ICD9 079,1.338235294117647,negative
ICD9 079,1.3206997084548107,negative
ICD9 079,1.3820224719101122,negative
ICD9 079,1.3571428571428577,negative
ICD9 079,1.3729729729729732,negative
ICD9 079,1.3292181069958857,negative
ICD9 079,1.352112676056338,negative
ICD9 079,1.3346153846153845,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3545454545454547,negative
ICD9 079,1.3404255319148937,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3178294573643414,negative
ICD9 079,1.3543307086614174,negative
ICD9 079,1.340909090909091,negative
ICD9 079,1.3786982248520712,negative
ICD9 079,1.3399999999999999,negative
ICD9 079,1.3580246913580247,negative
ICD9 079,1.3849056603773584,negative
ICD9 079,1.2710280373831775,negative
ICD9 079,1.3428571428571425,negative
ICD9 079,1.3826086956521737,negative
ICD9 079,1.3076923076923077,negative
ICD9 079,1.3194444444444444,negative
ICD9 079,1.3239227340267459,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.338235294117647,negative
ICD9 079,1.32,negative
ICD9 079,1.36231884057971,negative
ICD9 079,1.3472222222222223,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.337837837837838,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.338235294117647,negative
ICD9 079,1.3499999999999999,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3541666666666663,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3150684931506849,negative
ICD9 079,1.3243243243243243,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3370786516853936,negative
ICD9 079,1.3432835820895521,negative
ICD9 079,1.3432835820895521,negative
