source,target,edge,z_score (distance (DIFF)),p_value (distance (DIFF)),p_value (distribution) (distance (DIFF))
ICD9 038,ICD9 079,"['ICD9 038', 'ICD9 079']",3.344010485280354,0.0,0.0004128830819716267
ICD9 041,ICD9 535,"['ICD9 041', 'ICD9 535']",-0.2801082481758041,0.29200000000000004,0.6103027716077791
ICD9 079,ICD9 276,"['ICD9 079', 'ICD9 276']",-0.2970112858729365,0.613,0.6167710535753517
ICD9 079,ICD9 428,"['ICD9 079', 'ICD9 428']",-0.912825399311233,0.833,0.8193328111811597
ICD9 079,ICD9 482,"['ICD9 079', 'ICD9 482']",-0.5770455640393674,0.726,0.7180456620030082
ICD9 079,ICD9 486,"['ICD9 079', 'ICD9 486']",-0.3204139724322098,0.44799999999999995,0.6256727325151846
ICD9 079,ICD9 518,"['ICD9 079', 'ICD9 518']",-0.5873153682570251,0.742,0.7215040392468286
ICD9 079,ICD9 599,"['ICD9 079', 'ICD9 599']",0.5397212194725388,0.22899999999999998,0.29469465199480216
ICD9 079,ICD9 786,"['ICD9 079', 'ICD9 786']",-1.3025415900446353,0.909,0.903634344904893
ICD9 079,ICD9 788,"['ICD9 079', 'ICD9 788']",-0.20845591004415645,0.47,0.5825634974537698
ICD9 162,ICD9 079,"['ICD9 162', 'ICD9 079']",2.379675357851039,0.0030000000000000027,0.008663948136280686
ICD9 162,ICD9 519,"['ICD9 162', 'ICD9 519']",7.336246095812701,0.0,1.0980105713542798e-13
ICD9 197,ICD9 079,"['ICD9 197', 'ICD9 079']",3.9272972714397265,0.0,4.295288860023394e-05
ICD9 241,ICD9 789,"['ICD9 241', 'ICD9 789']",10.636095666775512,0.0,0.0
ICD9 250,ICD9 079,"['ICD9 250', 'ICD9 079']",-0.45289473054203777,0.17400000000000004,0.6746877272303301
ICD9 250,ICD9 272,"['ICD9 250', 'ICD9 272']",16.24195760424693,0.0,0.0
ICD9 266,ICD9 519,"['ICD9 266', 'ICD9 519']",1.4810025439496584,0.02100000000000002,0.06930294779515589
ICD9 272,ICD9 079,"['ICD9 272', 'ICD9 079']",-0.5559156185086017,0.25,0.710865729680823
ICD9 272,ICD9 519,"['ICD9 272', 'ICD9 519']",3.662480254332871,0.0010000000000000009,0.00012489250588576528
ICD9 274,ICD9 079,"['ICD9 274', 'ICD9 079']",1.9156626774781618,0.0,0.027704022988084054
ICD9 274,ICD9 519,"['ICD9 274', 'ICD9 519']",1.679137520880505,0.013000000000000012,0.04656262259559474
ICD9 276,ICD9 079,"['ICD9 276', 'ICD9 079']",1.1039872339214842,0.041000000000000036,0.1347993377501715
ICD9 280,ICD9 079,"['ICD9 280', 'ICD9 079']",2.2985256925521815,0.0020000000000000018,0.010765943656151133
ICD9 280,ICD9 519,"['ICD9 280', 'ICD9 519']",2.197125211190048,0.008000000000000007,0.014005752510129588
ICD9 281,ICD9 079,"['ICD9 281', 'ICD9 079']",2.3402660436551557,0.0010000000000000009,0.009635003746808035
ICD9 281,ICD9 519,"['ICD9 281', 'ICD9 519']",1.198842464946194,0.04800000000000004,0.11529460352183973
ICD9 285,ICD9 079,"['ICD9 285', 'ICD9 079']",1.5059183243486873,0.013000000000000012,0.06604407094511444
ICD9 285,ICD9 519,"['ICD9 285', 'ICD9 519']",3.4908486428021885,0.0040000000000000036,0.00024074447093291873
ICD9 351,ICD9 786,"['ICD9 351', 'ICD9 786']",5.90549090700742,0.0,1.7579908639930864e-09
ICD9 362,ICD9 578,"['ICD9 362', 'ICD9 578']",8.49924305180213,0.0,0.0
ICD9 366,ICD9 079,"['ICD9 366', 'ICD9 079']",1.478598369545519,0.016000000000000014,0.06962384437753621
ICD9 366,ICD9 251,"['ICD9 366', 'ICD9 251']",6.964197185994083,0.0,1.6514567491299204e-12
ICD9 366,ICD9 519,"['ICD9 366', 'ICD9 519']",3.4237044029027524,0.0030000000000000027,0.0003088688767032277
ICD9 366,ICD9 585,"['ICD9 366', 'ICD9 585']",11.848284219043686,0.0,0.0
ICD9 379,ICD9 401,"['ICD9 379', 'ICD9 401']",38.95585363954197,0.0,0.0
ICD9 401,ICD9 079,"['ICD9 401', 'ICD9 079']",-0.445176578713233,0.17000000000000004,0.6719039244193167
ICD9 403,ICD9 079,"['ICD9 403', 'ICD9 079']",-0.47608126575808724,0.19099999999999995,0.6829917584045468
ICD9 403,ICD9 519,"['ICD9 403', 'ICD9 519']",2.3012299290078944,0.06599999999999995,0.010689319017263554
ICD9 410,ICD9 079,"['ICD9 410', 'ICD9 079']",1.9627468845324336,0.0040000000000000036,0.024837796188387662
ICD9 410,ICD9 519,"['ICD9 410', 'ICD9 519']",3.743083310244065,0.0,9.088796378053932e-05
ICD9 412,ICD9 427,"['ICD9 412', 'ICD9 427']",29.34621469396827,0.0,0.0
ICD9 414,ICD9 079,"['ICD9 414', 'ICD9 079']",-0.46345865506572187,0.18300000000000005,0.6784821780995828
ICD9 414,ICD9 519,"['ICD9 414', 'ICD9 519']",4.0472737433726484,0.0,2.5908814532016322e-05
ICD9 427,ICD9 079,"['ICD9 427', 'ICD9 079']",-0.5045773660027204,0.20999999999999996,0.6930721447769022
ICD9 427,ICD9 519,"['ICD9 427', 'ICD9 519']",4.658944273272288,0.0010000000000000009,1.5891761152575512e-06
ICD9 428,ICD9 079,"['ICD9 428', 'ICD9 079']",-0.5227842623665188,0.22099999999999997,0.6994378037236824
ICD9 428,ICD9 519,"['ICD9 428', 'ICD9 519']",4.291712978656962,0.0020000000000000018,8.865001651203741e-06
ICD9 434,ICD9 079,"['ICD9 434', 'ICD9 079']",-0.5424913759502852,0.24,0.7062599765587968
ICD9 437,ICD9 079,"['ICD9 437', 'ICD9 079']",2.442691132316435,0.0030000000000000027,0.007289103944195796
ICD9 455,ICD9 428,"['ICD9 455', 'ICD9 428']",-0.9149053842391143,0.833,0.8198793483874784
ICD9 458,ICD9 079,"['ICD9 458', 'ICD9 079']",-0.5929904852744874,0.275,0.7234062400564757
ICD9 458,ICD9 519,"['ICD9 458', 'ICD9 519']",2.0652191529657538,0.009000000000000008,0.019451134546947357
ICD9 486,ICD9 079,"['ICD9 486', 'ICD9 079']",1.5878047231978263,0.006000000000000005,0.05616525155643981
ICD9 493,ICD9 079,"['ICD9 493', 'ICD9 079']",3.772372528661821,0.0,8.085129183366124e-05
ICD9 496,ICD9 079,"['ICD9 496', 'ICD9 079']",3.355199256465422,0.0,0.00039653918815507616
ICD9 496,ICD9 519,"['ICD9 496', 'ICD9 519']",-1.3807209923655293,0.792,0.9163176179145414
ICD9 511,ICD9 079,"['ICD9 511', 'ICD9 079']",2.1091490513598043,0.0020000000000000018,0.017465859014534013
ICD9 511,ICD9 519,"['ICD9 511', 'ICD9 519']",-2.0173321329480314,0.95,0.9781695677679185
ICD9 518,ICD9 079,"['ICD9 518', 'ICD9 079']",2.2860106007000356,0.0020000000000000018,0.011126819200729221
ICD9 518,ICD9 519,"['ICD9 518', 'ICD9 519']",-1.9189891251996851,0.938,0.9725071449343663
ICD9 519,ICD9 428,"['ICD9 519', 'ICD9 428']",2.768005581425126,0.009000000000000008,0.0028200244878540115
ICD9 519,ICD9 788,"['ICD9 519', 'ICD9 788']",1.2704900442527294,0.06499999999999995,0.10195506346919037
ICD9 530,ICD9 519,"['ICD9 530', 'ICD9 519']",2.9620867447187185,0.0040000000000000036,0.0015278084246145296
ICD9 531,ICD9 079,"['ICD9 531', 'ICD9 079']",2.41754288349377,0.0010000000000000009,0.00781284632975321
ICD9 531,ICD9 519,"['ICD9 531', 'ICD9 519']",2.4025925546266054,0.0030000000000000027,0.00813965719765175
ICD9 533,ICD9 535,"['ICD9 533', 'ICD9 535']",-1.7653339260988354,0.825,0.9612461695375697
ICD9 535,ICD9 079,"['ICD9 535', 'ICD9 079']",1.506736565895574,0.008000000000000007,0.06593909744915738
ICD9 535,ICD9 424,"['ICD9 535', 'ICD9 424']",0.9432585877468332,0.08999999999999997,0.17277432624819944
ICD9 535,ICD9 519,"['ICD9 535', 'ICD9 519']",0.6427234471869261,0.127,0.260201781961958
ICD9 536,ICD9 079,"['ICD9 536', 'ICD9 079']",1.4985235573075715,0.009000000000000008,0.06699863841324061
ICD9 550,ICD9 276,"['ICD9 550', 'ICD9 276']",2.9785693760900713,0.0010000000000000009,0.0014479873082331451
ICD9 560,ICD9 079,"['ICD9 560', 'ICD9 079']",1.3866508790686582,0.015000000000000013,0.08277412287808028
ICD9 564,ICD9 079,"['ICD9 564', 'ICD9 079']",2.034529645785101,0.0020000000000000018,0.02094911134755051
ICD9 569,ICD9 079,"['ICD9 569', 'ICD9 079']",2.0822666739735904,0.0040000000000000036,0.018659059081554297
