"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0072594","establishment of protein localization to organelle","34/406","459/18870",3.94386449771992e-10,1.76448497627989e-06,1.31392959318774e-06,"617/1459/4927/4928/5898/6728/6729/6731/7040/7879/8021/8546/9512/9648/9818/9868/10204/10531/10890/23203/23636/23649/23787/26515/26519/26520/26521/53371/55027/55823/80273/90580/90865/131118",34
"BP","GO:0072655","establishment of protein localization to mitochondrion","17/406","124/18870",1.37051097069511e-09,3.06583304144495e-06,2.28298274855264e-06,"617/1459/5898/8546/9512/9868/10531/23203/23787/26515/26519/26520/26521/55823/80273/90580/131118",17
"BP","GO:0090150","establishment of protein localization to membrane","25/406","280/18870",2.12837881954513e-09,3.17412227954831e-06,2.36362068907381e-06,"481/537/617/2040/2181/4218/5962/6728/6729/6731/7879/8546/9868/10890/23065/23787/26515/26519/26520/26521/51125/56850/64374/64689/90580",25
"BP","GO:0070585","protein localization to mitochondrion","17/406","131/18870",3.239768195393e-09,3.62368072654707e-06,2.69838587853128e-06,"617/1459/5898/8546/9512/9868/10531/23203/23787/26515/26519/26520/26521/55823/80273/90580/131118",17
"BP","GO:0042542","response to hydrogen peroxide","14/406","101/18870",3.4153046891677e-08,2.82963343737276e-05,2.1070959295308e-05,"374/596/847/1728/1906/2876/3066/3162/3569/4602/6647/8737/8754/8989",14
"BP","GO:0007249","canonical NF-kappaB signal transduction","24/406","300/18870",3.79476992048202e-08,2.82963343737276e-05,2.1070959295308e-05,"142/387/1906/2150/2950/3123/3162/3553/7088/7124/8737/9188/9755/9978/10318/23085/23476/23636/29110/54602/57153/79671/79753/286827",24
"BP","GO:0006626","protein targeting to mitochondrion","14/406","106/18870",6.38395869534603e-08,4.08026160042545e-05,3.0383803414692e-05,"1459/9512/9868/10531/23203/23787/26515/26519/26520/26521/55823/80273/90580/131118",14
"BP","GO:0090151","establishment of protein localization to mitochondrial membrane","9/406","38/18870",8.48584961818863e-08,4.63068990175043e-05,3.44825860269631e-05,"617/8546/9868/23787/26515/26519/26520/26521/90580",9
"BP","GO:0006605","protein targeting","25/406","339/18870",9.65245509701029e-08,4.63068990175043e-05,3.44825860269631e-05,"1459/2040/6728/6729/6731/7879/8546/9512/9648/9868/10531/10956/23203/23787/26515/26519/26520/26521/51125/53371/55823/64374/80273/90580/131118",25
"BP","GO:0000302","response to reactive oxygen species","19/406","205/18870",1.03502232940332e-07,4.63068990175043e-05,3.44825860269631e-05,"117/374/596/847/1728/1906/2876/2950/3066/3162/3569/4318/4602/6647/7356/8737/8754/8989/10516",19
"BP","GO:0045039","protein insertion into mitochondrial inner membrane","6/406","13/18870",1.44399168687811e-07,5.87310800644787e-05,4.37342936743465e-05,"9868/26515/26519/26520/26521/90580",6
"BP","GO:0006979","response to oxidative stress","27/406","400/18870",1.78790215373788e-07,6.6658951965194e-05,4.96378097945648e-05,"117/142/240/374/596/847/1728/1861/1906/2876/2950/3066/3162/3569/4318/4363/4602/6647/7356/8614/8737/8754/8989/10516/55829/79956/80777",27
"BP","GO:0032642","regulation of chemokine production","13/406","104/18870",3.63590096201097e-07,0.000118858775509106,8.85085816263137e-05,"384/2150/2950/3162/3553/3569/3570/7040/7124/9173/23765/85480/90865",13
"BP","GO:0032722","positive regulation of chemokine production","11/406","72/18870",3.71931796407574e-07,0.000118858775509106,8.85085816263137e-05,"2150/3162/3553/3569/3570/7040/7124/9173/23765/85480/90865",11
"BP","GO:0032602","chemokine production","13/406","105/18870",4.06983358962635e-07,0.000121389569866589,9.03931460432801e-05,"384/2150/2950/3162/3553/3569/3570/7040/7124/9173/23765/85480/90865",13
"BP","GO:0001819","positive regulation of cytokine production","30/406","499/18870",4.48811975308699e-07,0.000125499048595695,9.34532830165812e-05,"929/2150/3066/3115/3135/3162/3553/3565/3569/3570/3596/4602/4843/5142/5144/5861/6647/7040/7124/8737/9173/9188/9868/10146/23765/29110/30009/30968/85480/90865",30
"BP","GO:0006839","mitochondrial transport","17/406","190/18870",8.01441455440903e-07,0.000200555243653704,0.000149344127747212,"596/617/1459/4884/9512/9868/10531/23203/23787/26515/26519/26520/26521/55823/80273/90580/131118",17
"BP","GO:0072593","reactive oxygen species metabolic process","19/406","234/18870",8.06882965079722e-07,0.000200555243653704,0.000149344127747212,"240/384/387/596/847/1728/1906/2150/2876/2950/4843/6647/7040/7124/8737/10193/10516/23408/26574",19
"BP","GO:0046209","nitric oxide metabolic process","11/406","78/18870",8.52794226208029e-07,0.00020081059831867,0.000149534278445895,"384/1727/1728/1906/2717/3553/4843/7124/55829/64757/80777",11
"BP","GO:0002705","positive regulation of leukocyte mediated immunity","15/406","151/18870",9.53606398806292e-07,0.000207051139879052,0.000154181318428628,"383/2150/3123/3135/3553/3565/3569/4843/5817/7040/7124/7468/9188/30009/51010",15
"BP","GO:2001057","reactive nitrogen species metabolic process","11/406","79/18870",9.71853808104625e-07,0.000207051139879052,0.000154181318428628,"384/1727/1728/1906/2717/3553/4843/7124/55829/64757/80777",11
"BP","GO:0048661","positive regulation of smooth muscle cell proliferation","12/406","98/18870",1.2825722235205e-06,0.000254904197825807,0.000189815256833324,"1786/1906/3162/3569/3570/3596/4318/4602/6352/7040/7124/9510",12
"BP","GO:0043122","regulation of canonical NF-kappaB signal transduction","20/406","265/18870",1.31041496423638e-06,0.000254904197825807,0.000189815256833324,"142/387/2150/2950/3123/3162/3553/7088/7124/8737/9188/9978/10318/23476/23636/29110/54602/57153/79671/286827",20
"BP","GO:0050867","positive regulation of cell activation","25/406","396/18870",1.74581442099522e-06,0.000321267600220058,0.000239232984659079,"387/596/2150/3115/3117/3119/3123/3135/3553/3565/3567/3569/3596/4602/6347/6352/7040/7124/7468/8546/9173/30009/51010/85480/90865",25
"BP","GO:0007007","inner mitochondrial membrane organization","8/406","40/18870",1.80375108480607e-06,0.000321267600220058,0.000239232984659079,"9868/26515/26519/26520/26521/27069/55735/90580",8
"BP","GO:0032754","positive regulation of interleukin-5 production","5/406","11/18870",1.86805872073119e-06,0.000321267600220058,0.000239232984659079,"5144/9173/23765/85480/90865",5
"BP","GO:0050727","regulation of inflammatory response","26/406","425/18870",1.93880760079159e-06,0.000321267600220058,0.000239232984659079,"240/2876/2950/3123/3371/3553/3565/3569/3596/4318/4363/6352/6647/7040/7124/7356/7941/8737/9173/10318/23476/23765/55829/79671/85480/90865",26
"BP","GO:0002639","positive regulation of immunoglobulin production","9/406","54/18870",2.04219392505707e-06,0.00032631341502519,0.000242990367398707,"3565/3567/3569/3596/7040/7468/30009/51010/90865",9
