"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0032496","response to lipopolysaccharide","28/175","348/18870",1.73059412550046e-18,6.92756828437835e-15,3.84738399269155e-15,"948/1432/1906/2634/2643/2920/2950/3146/3158/3164/3552/3553/3569/3627/3717/3764/4792/4846/5142/5581/6347/6376/6401/6403/6648/7124/7412/7538",28
"BP","GO:0002237","response to molecule of bacterial origin","28/175","369/18870",8.11154418749376e-18,1.62352556912688e-14,9.01662174946675e-15,"948/1432/1906/2634/2643/2920/2950/3146/3158/3164/3552/3553/3569/3627/3717/3764/4792/4846/5142/5581/6347/6376/6401/6403/6648/7124/7412/7538",28
"BP","GO:0002685","regulation of leukocyte migration","22/175","230/18870",2.73487595754267e-16,3.6492361526811e-13,2.02668702537899e-13,"811/1398/1843/1906/2150/3146/3162/3383/3552/3569/3627/4254/4478/6347/6348/6351/6376/6401/6403/7124/7422/10059",22
"BP","GO:0043410","positive regulation of MAPK cascade","29/175","474/18870",6.27000339228171e-16,6.27470589482592e-13,3.48480188539447e-13,"154/948/1000/1398/1499/1906/2150/2246/2247/2690/3082/3146/3383/3479/3486/3552/3553/3569/3717/3791/5320/5581/6347/6348/6351/6376/7124/7422/9518",29
"BP","GO:0050900","leukocyte migration","26/175","396/18870",4.36864844963305e-15,3.49753994877622e-12,1.94243905802632e-12,"811/1398/1843/1906/2150/2920/3146/3162/3383/3552/3553/3569/3627/4254/4478/5142/6347/6348/6351/6376/6401/6403/7124/7412/7422/10059",26
"BP","GO:0019932","second-messenger-mediated signaling","23/175","310/18870",1.41122896554593e-14,9.41524924846727e-12,5.22897469339124e-12,"183/817/948/1906/2946/3479/3764/3791/4846/4878/5443/5515/5534/6262/6348/6351/6401/6403/6546/7124/7412/7422/9451",23
"BP","GO:0071222","cellular response to lipopolysaccharide","20/175","226/18870",2.97775117948543e-14,1.70284828164003e-11,9.45715863319283e-12,"948/1432/2634/2920/2950/3146/3158/3552/3553/3569/3627/3717/4792/4846/5142/5581/6347/6376/7124/7538",20
"BP","GO:0060326","cell chemotaxis","23/175","325/18870",3.86977675833865e-14,1.86664364886792e-11,1.0366833786263e-11,"811/1398/1843/1906/2150/2246/2247/2920/3082/3146/3164/3553/3569/3627/3791/5142/6347/6348/6351/6376/7412/7422/10059",23
"BP","GO:0002687","positive regulation of leukocyte migration","17/175","149/18870",4.19680060949569e-14,1.86664364886792e-11,1.0366833786263e-11,"811/1906/2150/3146/3383/3552/3569/3627/4254/6348/6351/6376/6401/6403/7124/7422/10059",17
"BP","GO:0071216","cellular response to biotic stimulus","21/175","265/18870",5.86141757733792e-14,2.34632545620837e-11,1.30308567614081e-11,"948/1432/2634/2920/2950/3146/3158/3552/3553/3569/3627/3717/4792/4846/5142/5581/6347/6376/7124/7538/9451",21
"BP","GO:0071219","cellular response to molecule of bacterial origin","20/175","239/18870",8.63058270144929e-14,3.14074750490014e-11,1.74428618808238e-11,"948/1432/2634/2920/2950/3146/3158/3552/3553/3569/3627/3717/4792/4846/5142/5581/6347/6376/7124/7538",20
"BP","GO:0006935","chemotaxis","26/175","468/18870",2.19233949972698e-13,7.3132791811726e-11,4.06159738896789e-11,"811/1398/1432/1843/1906/2150/2152/2246/2247/2920/3082/3146/3164/3553/3569/3627/3791/5142/6347/6348/6351/6376/7412/7422/10059/10928",26
"BP","GO:0042330","taxis","26/175","470/18870",2.41900080980052e-13,7.44866172433191e-11,4.13678519052526e-11,"811/1398/1432/1843/1906/2150/2152/2246/2247/2920/3082/3146/3164/3553/3569/3627/3791/5142/6347/6348/6351/6376/7412/7422/10059/10928",26
"BP","GO:0003018","vascular process in circulatory system","20/175","269/18870",7.95334902496965e-13,2.27408972478239e-10,1.26296790531849e-10,"153/154/183/948/952/1401/1906/2150/2171/2643/2729/3764/4846/4878/6533/6546/6648/7037/7124/7422",20
"BP","GO:0042060","wound healing","24/175","423/18870",1.27493041247526e-12,3.40236429409231e-10,1.88958107448965e-10,"60/389/948/1398/1432/1906/2150/2152/2246/2247/2768/3162/3479/3552/3569/3572/3717/3791/4846/5581/6376/6403/7124/7422",24
"BP","GO:0009410","response to xenobiotic stimulus","24/175","434/18870",2.20334548039704e-12,5.51249497376835e-10,3.06149056223589e-10,"476/595/811/952/1499/1848/1906/2052/2729/2768/2938/2946/2950/3030/3158/3553/3764/5142/6648/6817/7037/7124/9370/23491",24
"BP","GO:0034612","response to tumor necrosis factor","19/175","259/18870",3.89086766812933e-12,9.161848985601e-10,5.08824304339885e-10,"1432/1906/2150/2634/2643/2950/3303/3717/4792/6347/6348/6351/6376/6401/7124/7412/7538/7846/9370",19
"BP","GO:0048660","regulation of smooth muscle cell proliferation","16/175","171/18870",5.3409882674597e-12,1.12526189656006e-09,6.24940012236836e-10,"1499/1906/2006/2247/2768/3162/3479/3486/3569/3717/4846/6376/6648/6934/7124/9370",16
"BP","GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","16/175","171/18870",5.3409882674597e-12,1.12526189656006e-09,6.24940012236836e-10,"183/1634/2150/2152/2247/3082/3479/3717/3791/4734/6348/6376/6403/6934/7124/9518",16
"BP","GO:1901653","cellular response to peptide","22/175","374/18870",5.84504583126081e-12,1.13404482486916e-09,6.29817812988594e-10,"154/183/948/1398/1906/2690/2729/3158/3164/3383/3479/3553/3717/4691/5166/5786/6776/7124/7412/9021/9370/9518",22
"BP","GO:0001819","positive regulation of cytokine production","25/175","499/18870",6.41035635191001e-12,1.13404482486916e-09,6.29817812988594e-10,"183/948/1432/2150/2152/3082/3098/3146/3162/3303/3459/3552/3553/3569/3572/3659/3717/5142/6348/6376/7124/9370/9451/28984/91543",25
"BP","GO:0035296","regulation of tube diameter","15/175","146/18870",6.5158708398678e-12,1.13404482486916e-09,6.29817812988594e-10,"153/154/183/952/1401/1906/2150/2643/2729/3764/4846/4878/6546/6648/7124",15
"BP","GO:0097746","blood vessel diameter maintenance","15/175","146/18870",6.5158708398678e-12,1.13404482486916e-09,6.29817812988594e-10,"153/154/183/952/1401/1906/2150/2643/2729/3764/4846/4878/6546/6648/7124",15
"BP","GO:0035150","regulation of tube size","15/175","147/18870",7.19845978048576e-12,1.17281644360222e-09,6.51350521027095e-10,"153/154/183/952/1401/1906/2150/2643/2729/3764/4846/4878/6546/6648/7124",15
"BP","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","13/175","99/18870",7.41471400913081e-12,1.17281644360222e-09,6.51350521027095e-10,"2729/2950/3082/3162/3303/3383/3479/3552/3553/4846/6376/6934/7124",13
"BP","GO:0048659","smooth muscle cell proliferation","16/175","175/18870",7.61759368814832e-12,1.17281644360222e-09,6.51350521027095e-10,"1499/1906/2006/2247/2768/3162/3479/3486/3569/3717/4846/6376/6648/6934/7124/9370",16
"BP","GO:0019722","calcium-mediated signaling","17/175","210/18870",1.16983450710489e-11,1.73438797479292e-09,9.63232155557712e-10,"817/1906/2946/3479/3764/3791/5443/5534/6262/6348/6351/6401/6403/6546/7124/7412/9451",17
"BP","GO:0033002","muscle cell proliferation","18/175","247/18870",1.65078975553474e-11,2.36003978264485e-09,1.31070224198849e-09,"1432/1499/1906/2006/2247/2768/3082/3162/3479/3486/3569/3717/4846/6376/6648/6934/7124/9370",18
"BP","GO:0045444","fat cell differentiation","18/175","248/18870",1.76585451411683e-11,2.43748814483092e-09,1.3537149669019e-09,"153/154/406/595/1052/1432/1959/3164/3569/3764/4329/6648/6934/7124/7538/8313/9314/9370",18
"BP","GO:0043542","endothelial cell migration","19/175","284/18870",1.95225638424028e-11,2.5418896004536e-09,1.41169671066647e-09,"183/811/1634/1906/2246/2247/3146/3162/3164/3397/3791/4223/4846/6678/6776/7124/7422/9314/28984",19
"BP","GO:0045785","positive regulation of cell adhesion","24/175","482/18870",2.00161260521613e-11,2.5418896004536e-09,1.41169671066647e-09,"60/811/948/1326/1398/3146/3479/3552/3553/3569/3572/3717/3791/4254/5034/5581/6347/6376/6401/6403/7037/7124/7412/7422",24
"BP","GO:0071900","regulation of protein serine/threonine kinase activity","19/175","285/18870",2.07513481742546e-11,2.5418896004536e-09,1.41169671066647e-09,"60/154/183/595/894/1843/1906/2246/2247/2690/2950/3553/4878/5515/6546/7124/7422/9370/28984",19
"BP","GO:0008217","regulation of blood pressure","16/175","187/18870",2.09548730489555e-11,2.5418896004536e-09,1.41169671066647e-09,"153/154/183/476/1906/2150/2643/2768/3764/4846/4878/5443/6648/7124/9370/79924",16
"BP","GO:0022407","regulation of cell-cell adhesion","24/175","493/18870",3.19734330587149e-11,3.76440154511869e-09,2.09064676842123e-09,"60/1326/1432/3146/3479/3552/3553/3569/3572/3659/3717/4254/5320/6347/6376/6401/6403/7037/7124/7412/7422/9314/9370/28984",24
"BP","GO:0003012","muscle system process","23/175","452/18870",3.53115228133134e-11,4.03862930919124e-09,2.24294544907422e-09,"154/183/226/476/817/952/1906/2628/2946/3162/3164/3479/3553/3572/3764/4846/4878/5142/6262/6546/7124/7139/10611",23
"BP","GO:0010631","epithelial cell migration","21/175","372/18870",3.95780754764492e-11,4.40086211478406e-09,2.44411974872107e-09,"183/811/1634/1906/2246/2247/3146/3162/3164/3397/3791/4223/4254/4846/5581/6678/6776/7124/7422/9314/28984",21
"BP","GO:0035994","response to muscle stretch","8/175","25/18870",4.40574111106858e-11,4.75135028784709e-09,2.63877139722394e-09,"1000/1432/1499/1906/4792/4878/6262/6546",8
"BP","GO:0090132","epithelium migration","21/175","375/18870",4.59650950118789e-11,4.75135028784709e-09,2.63877139722394e-09,"183/811/1634/1906/2246/2247/3146/3162/3164/3397/3791/4223/4254/4846/5581/6678/6776/7124/7422/9314/28984",21
"BP","GO:0070371","ERK1 and ERK2 cascade","20/175","336/18870",4.6290947096187e-11,4.75135028784709e-09,2.63877139722394e-09,"948/1848/1906/2150/2246/2247/2950/3146/3383/3479/3552/3553/3791/5320/6347/6348/6351/6376/7124/9370",20
"BP","GO:0070555","response to interleukin-1","14/175","140/18870",4.86783937415026e-11,4.87149025368087e-09,2.70549388373825e-09,"166/952/1906/2634/2690/2729/3553/3569/4792/6347/6348/6351/6376/6401",14
"BP","GO:0010594","regulation of endothelial cell migration","17/175","231/18870",5.31994260032571e-11,5.07041195931043e-09,2.81596961701451e-09,"183/811/1634/1906/2246/2247/3146/3162/3791/4223/4846/6678/6776/7124/7422/9314/28984",17
