"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0008217","regulation of blood pressure","27/141","187/18870",2.97315843352891e-27,3.63983294233904e-24,1.82358550021533e-24,"153/155/183/185/551/554/1636/1906/1909/1910/4624/4843/4846/4878/4879/4881/5443/5468/5742/5743/5972/6647/6648/7124/8862/9370/27035",27
"BP","GO:0035296","regulation of tube diameter","25/141","146/18870",3.30224608036768e-27,3.63983294233904e-24,1.82358550021533e-24,"146/152/153/155/183/185/551/554/1401/1636/1906/1909/1910/3357/3630/4846/4878/4879/4881/5743/6647/6648/6649/7124/9475",25
"BP","GO:0097746","blood vessel diameter maintenance","25/141","146/18870",3.30224608036768e-27,3.63983294233904e-24,1.82358550021533e-24,"146/152/153/155/183/185/551/554/1401/1636/1906/1909/1910/3357/3630/4846/4878/4879/4881/5743/6647/6648/6649/7124/9475",25
"BP","GO:0035150","regulation of tube size","25/141","147/18870",3.95526535434832e-27,3.63983294233904e-24,1.82358550021533e-24,"146/152/153/155/183/185/551/554/1401/1636/1906/1909/1910/3357/3630/4846/4878/4879/4881/5743/6647/6648/6649/7124/9475",25
"BP","GO:1903522","regulation of blood circulation","27/141","258/18870",2.04057483577857e-23,1.50227119410018e-20,7.5264991837559e-21,"146/152/153/156/183/185/478/487/488/551/554/1636/1906/1909/1910/4624/4625/4846/4878/5294/5743/6548/7124/7139/8862/10345/51738",27
"BP","GO:0003018","vascular process in circulatory system","26/141","269/18870",1.12243088655407e-21,6.88611348900922e-19,3.4499980934083e-19,"146/152/153/155/183/185/551/554/1401/1636/1906/1909/1910/3357/3630/4846/4878/4879/4881/5743/6647/6648/6649/7124/7422/9475",26
"BP","GO:0003012","muscle system process","30/141","452/18870",3.26617601379485e-20,1.71754198668269e-17,8.605023122058e-18,"152/156/183/487/488/1906/1909/1910/2628/2660/3162/3357/3553/4624/4625/4846/4878/5294/5468/5743/6548/6647/7124/7132/7139/9464/9475/10345/51738/57057",30
"BP","GO:0001666","response to hypoxia","24/141","298/18870",3.36723745796698e-18,1.41789705856934e-15,7.10377799686436e-16,"847/1536/1636/1906/1909/3091/3162/4780/4843/5105/5327/5468/5743/6422/6548/6648/6649/6659/7097/7124/7422/9370/9475/23411",24
"BP","GO:0072593","reactive oxygen species metabolic process","22/141","234/18870",3.46674097449716e-18,1.41789705856934e-15,7.10377799686436e-16,"183/185/847/1401/1490/1536/1906/3091/3630/4780/4843/4846/5879/6647/6648/6649/7124/7350/7498/10516/27035/50507",22
"BP","GO:0070482","response to oxygen levels","25/141","343/18870",6.87841666014657e-18,2.53194517259995e-15,1.26852484090282e-15,"847/1536/1636/1906/1909/3091/3162/4780/4843/5105/5327/5468/5743/6422/6548/6648/6649/6659/7097/7124/7422/9370/9475/23411/27035",25
