"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:1903596","regulation of gap junction assembly","1/1","10/18870",0.000529941706412296,0.0111287758346565,NA,"3553",1
"BP","GO:0001660","fever generation","1/1","11/18870",0.000582935877053381,0.0111287758346565,NA,"3553",1
"BP","GO:0031650","regulation of heat generation","1/1","12/18870",0.000635930047694577,0.0111287758346565,NA,"3553",1
"BP","GO:0033083","regulation of immature T cell proliferation","1/1","12/18870",0.000635930047694577,0.0111287758346565,NA,"3553",1
"BP","GO:0033084","regulation of immature T cell proliferation in thymus","1/1","12/18870",0.000635930047694577,0.0111287758346565,NA,"3553",1
"BP","GO:0031392","regulation of prostaglandin biosynthetic process","1/1","13/18870",0.000688924218336107,0.0111287758346565,NA,"3553",1
"BP","GO:0032306","regulation of prostaglandin secretion","1/1","13/18870",0.000688924218336107,0.0111287758346565,NA,"3553",1
"BP","GO:0032308","positive regulation of prostaglandin secretion","1/1","13/18870",0.000688924218336107,0.0111287758346565,NA,"3553",1
"BP","GO:0033079","immature T cell proliferation","1/1","13/18870",0.000688924218336107,0.0111287758346565,NA,"3553",1
"BP","GO:0033080","immature T cell proliferation in thymus","1/1","13/18870",0.000688924218336107,0.0111287758346565,NA,"3553",1
"BP","GO:0070486","leukocyte aggregation","1/1","13/18870",0.000688924218336107,0.0111287758346565,NA,"3553",1
"BP","GO:0030213","hyaluronan biosynthetic process","1/1","14/18870",0.000741918388977081,0.0111287758346565,NA,"3553",1
"BP","GO:0034116","positive regulation of heterotypic cell-cell adhesion","1/1","14/18870",0.000741918388977081,0.0111287758346565,NA,"3553",1
"BP","GO:0032725","positive regulation of granulocyte macrophage colony-stimulating factor production","1/1","15/18870",0.000794912559618388,0.0111287758346565,NA,"3553",1
"BP","GO:0071639","positive regulation of monocyte chemotactic protein-1 production","1/1","15/18870",0.000794912559618388,0.0111287758346565,NA,"3553",1
"BP","GO:2001279","regulation of unsaturated fatty acid biosynthetic process","1/1","15/18870",0.000794912559618388,0.0111287758346565,NA,"3553",1
"BP","GO:0051044","positive regulation of membrane protein ectodomain proteolysis","1/1","16/18870",0.000847906730259584,0.0111287758346565,NA,"3553",1
"BP","GO:0031649","heat generation","1/1","17/18870",0.000900900900900892,0.0111287758346565,NA,"3553",1
"BP","GO:0032310","prostaglandin secretion","1/1","17/18870",0.000900900900900892,0.0111287758346565,NA,"3553",1
"BP","GO:0097396","response to interleukin-17","1/1","17/18870",0.000900900900900892,0.0111287758346565,NA,"3553",1
"BP","GO:0097398","cellular response to interleukin-17","1/1","17/18870",0.000900900900900892,0.0111287758346565,NA,"3553",1
"BP","GO:1901550","regulation of endothelial cell development","1/1","17/18870",0.000900900900900892,0.0111287758346565,NA,"3553",1
"BP","GO:1903140","regulation of establishment of endothelial barrier","1/1","17/18870",0.000900900900900892,0.0111287758346565,NA,"3553",1
"BP","GO:0002827","positive regulation of T-helper 1 type immune response","1/1","18/18870",0.000953895071542199,0.0111287758346565,NA,"3553",1
"BP","GO:0016264","gap junction assembly","1/1","18/18870",0.000953895071542199,0.0111287758346565,NA,"3553",1
"BP","GO:0030730","sequestering of triglyceride","1/1","18/18870",0.000953895071542199,0.0111287758346565,NA,"3553",1
"BP","GO:0030949","positive regulation of vascular endothelial growth factor receptor signaling pathway","1/1","18/18870",0.000953895071542199,0.0111287758346565,NA,"3553",1
"BP","GO:0032604","granulocyte macrophage colony-stimulating factor production","1/1","18/18870",0.000953895071542199,0.0111287758346565,NA,"3553",1
"BP","GO:0032645","regulation of granulocyte macrophage colony-stimulating factor production","1/1","18/18870",0.000953895071542199,0.0111287758346565,NA,"3553",1
"BP","GO:0035234","ectopic germ cell programmed cell death","1/1","18/18870",0.000953895071542199,0.0111287758346565,NA,"3553",1
"BP","GO:0150078","positive regulation of neuroinflammatory response","1/1","18/18870",0.000953895071542199,0.0111287758346565,NA,"3553",1
"BP","GO:0032305","positive regulation of icosanoid secretion","1/1","19/18870",0.0010068892421834,0.0111287758346565,NA,"3553",1
"BP","GO:0035743","CD4-positive, alpha-beta T cell cytokine production","1/1","19/18870",0.0010068892421834,0.0111287758346565,NA,"3553",1
"BP","GO:0046827","positive regulation of protein export from nucleus","1/1","19/18870",0.0010068892421834,0.0111287758346565,NA,"3553",1
"BP","GO:0032303","regulation of icosanoid secretion","1/1","20/18870",0.00105988341282448,0.0111287758346565,NA,"3553",1
"BP","GO:0060353","regulation of cell adhesion molecule production","1/1","20/18870",0.00105988341282448,0.0111287758346565,NA,"3553",1
"BP","GO:0010829","negative regulation of glucose transmembrane transport","1/1","21/18870",0.00111287758346568,0.0111287758346565,NA,"3553",1
