edge,protein,TFIDF(count),TFIDF(RR),TFIDF(Corr),symbol
"['ICD9 791', 'ICD9 276']",183,1.5785002105750567,2.443078722567921,0.023523589118986155,AGT
"['ICD9 791', 'ICD9 276']",5443,1.1203548446379792,1.7084213674818192,0.017551231983504875,POMC
"['ICD9 786', 'ICD9 496']",3066,1.5785002105750567,2.102088492339158,0.019458353823670265,HDAC2
"['ICD9 786', 'ICD9 496']",3162,0.8853530300151113,1.1587500306207605,0.011108885641878934,HMOX1
"['ICD9 780', 'ICD9 272']",348,0.4510000601643019,0.5598661139127122,0.003551498798939081,APOE
"['ICD9 780', 'ICD9 272']",83729,0.351979034370024,0.45741692111970284,0.002729818896963447,INHBE
"['ICD9 780', 'ICD9 272']",10577,0.351979034370024,0.45741692111970284,0.002729818896963447,NPC2
"['ICD9 780', 'ICD9 272']",4758,0.351979034370024,0.45741692111970284,0.002729818896963447,NEU1
"['ICD9 780', 'ICD9 272']",8540,0.351979034370024,0.45741692111970284,0.002729818896963447,AGPS
"['ICD9 780', 'ICD9 272']",2717,0.351979034370024,0.45741692111970284,0.002729818896963447,GLA
"['ICD9 780', 'ICD9 272']",6648,0.29405544749742907,0.31496262754430765,0.0021978247442982746,SOD2
"['ICD9 719', 'ICD9 785']",5327,1.9042374526547452,4.017654546222779,0.031987480488718495,PLAT
"['ICD9 599', 'ICD9 272']",10577,0.4927706481180336,0.6733403304793704,0.0054753918206798,NPC2
"['ICD9 599', 'ICD9 272']",83729,0.4927706481180336,0.6733403304793704,0.0054753918206798,INHBE
"['ICD9 599', 'ICD9 272']",4758,0.4927706481180336,0.6733403304793704,0.0054753918206798,NEU1
"['ICD9 599', 'ICD9 272']",8540,0.4927706481180336,0.6733403304793704,0.0054753918206798,AGPS
"['ICD9 599', 'ICD9 272']",2717,0.4927706481180336,0.6733403304793704,0.0054753918206798,GLA
"['ICD9 585', 'ICD9 079']",1636,1.1420974006078486,3.209090816564318,0.03979315196736288,ACE
"['ICD9 569', 'ICD9 154']",4846,2.751535313041949,4.536195936270198,0.07733140739286844,NOS3
"['ICD9 533', 'ICD9 535']",3553,2.751535313041949,11.048518081382216,0.10537142205805813,IL1B
"['ICD9 519', 'ICD9 486']",7356,0.6861293774940012,1.198878096502302,0.013822361154216842,SCGB1A1
"['ICD9 519', 'ICD9 486']",2778,0.6347458175515817,1.1467300912036837,0.012984849271882155,GNAS
"['ICD9 519', 'ICD9 486']",5173,0.5902353533434075,1.093805199613496,0.012281509526774629,PDYN
"['ICD9 519', 'ICD9 428']",3688,0.351979034370024,0.6734185784143257,0.0056398503956454505,ITGB1
"['ICD9 519', 'ICD9 428']",5577,0.351979034370024,0.6734185784143257,0.0056398503956454505,PRKAR2B
"['ICD9 519', 'ICD9 428']",1291,0.351979034370024,0.6734185784143257,0.0056398503956454505,COL6A1
"['ICD9 519', 'ICD9 428']",10516,0.351979034370024,0.6734185784143257,0.0056398503956454505,FBLN5
"['ICD9 519', 'ICD9 428']",9518,0.32010138418227974,0.5590066535700364,0.0049812958320858535,GDF15
"['ICD9 519', 'ICD9 428']",5327,0.2720339218078207,0.4707961934054795,0.0041594337620815165,PLAT
"['ICD9 519', 'ICD9 428']",3162,0.2529580085757461,0.4993455554224931,0.003976723698191822,HMOX1
"['ICD9 518', 'ICD9 519']",7356,0.6861293774940012,0.8401566075269469,0.007579677730193837,SCGB1A1
"['ICD9 518', 'ICD9 519']",2778,0.6347458175515817,0.8036120319368127,0.0071204168201019075,GNAS
"['ICD9 518', 'ICD9 519']",5173,0.5902353533434075,0.7665230255550383,0.006734731006855352,PDYN
"['ICD9 511', 'ICD9 519']",7356,0.6861293774940012,4.144647687889041,0.009538272600566871,SCGB1A1
"['ICD9 511', 'ICD9 519']",2778,0.6347458175515817,3.9643665481972628,0.008960338298981567,GNAS
"['ICD9 511', 'ICD9 519']",5173,0.5902353533434075,3.781399630875967,0.008474990958914262,PDYN
"['ICD9 496', 'ICD9 519']",7356,0.6861293774940012,0.8496788107120828,0.01373740027503239,SCGB1A1
"['ICD9 496', 'ICD9 519']",2778,0.6347458175515817,0.8127200446353583,0.012905036264689808,GNAS
"['ICD9 496', 'ICD9 519']",5173,0.5902353533434075,0.7752106772738117,0.012206019685678363,PDYN
"['ICD9 493', 'ICD9 519']",7356,0.6861293774940012,1.042195833739412,0.006511720598384832,SCGB1A1
"['ICD9 493', 'ICD9 519']",2778,0.6347458175515817,0.9968630897193143,0.006117168371399569,GNAS
"['ICD9 493', 'ICD9 519']",5173,0.5902353533434075,0.9508549912501487,0.005785824699013886,PDYN
"['ICD9 490', 'ICD9 428']",3688,0.351979034370024,0.841783514273155,0.007879791086638553,ITGB1
"['ICD9 490', 'ICD9 428']",5577,0.351979034370024,0.841783514273155,0.007879791086638553,PRKAR2B
"['ICD9 490', 'ICD9 428']",1291,0.351979034370024,0.841783514273155,0.007879791086638553,COL6A1
"['ICD9 490', 'ICD9 428']",10516,0.351979034370024,0.841783514273155,0.007879791086638553,FBLN5
"['ICD9 490', 'ICD9 428']",9518,0.32010138418227974,0.6987668597624349,0.006959682924902789,GDF15
"['ICD9 490', 'ICD9 428']",5327,0.2720339218078207,0.5885024365149855,0.005811407534713945,PLAT
"['ICD9 490', 'ICD9 428']",3162,0.2529580085757461,0.6241895753306779,0.005556131768181416,HMOX1
"['ICD9 486', 'ICD9 519']",7356,0.6861293774940012,0.6996997072209556,0.021966190975626233,SCGB1A1
"['ICD9 486', 'ICD9 519']",2778,0.6347458175515817,0.6692646328409558,0.020635235594959774,GNAS
"['ICD9 486', 'ICD9 519']",5173,0.5902353533434075,0.6383761452971483,0.019517503610575405,PDYN
"['ICD9 458', 'ICD9 519']",5173,1.7707060600302227,2.534657520467839,0.024265397398190988,PDYN
"['ICD9 458', 'ICD9 079']",1636,1.1420974006078486,1.8910448186934647,0.017977774798150593,ACE
"['ICD9 455', 'ICD9 428']",5444,0.3946250526437642,0.8920237462572793,0.004896756117775492,PON1
"['ICD9 455', 'ICD9 428']",3688,0.307981655073771,0.5653206117667067,0.0032141483787189486,ITGB1
"['ICD9 455', 'ICD9 428']",5577,0.307981655073771,0.5653206117667067,0.0032141483787189486,PRKAR2B
"['ICD9 455', 'ICD9 428']",1291,0.307981655073771,0.5653206117667067,0.0032141483787189486,COL6A1
"['ICD9 455', 'ICD9 428']",10516,0.307981655073771,0.5653206117667067,0.0032141483787189486,FBLN5
"['ICD9 455', 'ICD9 428']",9518,0.2800887111594948,0.46927422780937905,0.00283883840872447,GDF15
"['ICD9 455', 'ICD9 428']",5327,0.23802968158184315,0.3952234176552094,0.002370459559194238,PLAT
"['ICD9 455', 'ICD9 428']",3162,0.22133825750377784,0.4191900014685198,0.0022663331702956735,HMOX1
"['ICD9 434', 'ICD9 079']",1636,1.1420974006078486,1.8736278202680834,0.019462597199927153,ACE
"['ICD9 428', 'ICD9 079']",1636,1.1420974006078486,2.8866613431503727,0.0274260599579108,ACE
"['ICD9 427', 'ICD9 079']",1636,1.1420974006078486,1.643010690905537,0.01443067692053346,ACE
"['ICD9 426', 'ICD9 294']",1786,0.9625369004275146,3.144309881652636,0.020478258065458742,DNMT1
"['ICD9 426', 'ICD9 294']",3757,0.9625369004275146,3.144309881652636,0.020478258065458742,KCNH2
"['ICD9 426', 'ICD9 294']",3066,0.7892501052875284,2.8428202990315934,0.017909924319357506,HDAC2
