edge,protein
"['ICD9 533', 'ICD9 535']",34
"['ICD9 533', 'ICD9 535']",161
"['ICD9 533', 'ICD9 535']",166
"['ICD9 533', 'ICD9 535']",382
"['ICD9 533', 'ICD9 535']",387
"['ICD9 533', 'ICD9 535']",481
"['ICD9 533', 'ICD9 535']",523
"['ICD9 533', 'ICD9 535']",537
"['ICD9 533', 'ICD9 535']",617
"['ICD9 533', 'ICD9 535']",949
"['ICD9 533', 'ICD9 535']",1063
"['ICD9 533', 'ICD9 535']",1173
"['ICD9 533', 'ICD9 535']",1291
"['ICD9 533', 'ICD9 535']",1312
"['ICD9 533', 'ICD9 535']",1459
"['ICD9 533', 'ICD9 535']",1460
"['ICD9 533', 'ICD9 535']",1662
"['ICD9 533', 'ICD9 535']",1727
"['ICD9 533', 'ICD9 535']",1786
"['ICD9 533', 'ICD9 535']",1861
"['ICD9 533', 'ICD9 535']",1906
"['ICD9 533', 'ICD9 535']",2011
"['ICD9 533', 'ICD9 535']",2040
"['ICD9 533', 'ICD9 535']",2108
"['ICD9 533', 'ICD9 535']",2150
"['ICD9 533', 'ICD9 535']",2181
"['ICD9 533', 'ICD9 535']",2200
"['ICD9 533', 'ICD9 535']",2201
"['ICD9 533', 'ICD9 535']",2520
"['ICD9 533', 'ICD9 535']",2671
"['ICD9 533', 'ICD9 535']",2677
"['ICD9 533', 'ICD9 535']",2717
"['ICD9 533', 'ICD9 535']",2782
"['ICD9 533', 'ICD9 535']",2787
"['ICD9 533', 'ICD9 535']",2801
"['ICD9 533', 'ICD9 535']",2802
"['ICD9 533', 'ICD9 535']",2804
"['ICD9 533', 'ICD9 535']",2876
"['ICD9 533', 'ICD9 535']",2963
"['ICD9 533', 'ICD9 535']",3066
"['ICD9 533', 'ICD9 535']",3162
"['ICD9 533', 'ICD9 535']",3281
"['ICD9 533', 'ICD9 535']",3416
"['ICD9 533', 'ICD9 535']",3553
"['ICD9 533', 'ICD9 535']",3615
"['ICD9 533', 'ICD9 535']",3688
"['ICD9 533', 'ICD9 535']",4015
"['ICD9 533', 'ICD9 535']",4139
"['ICD9 533', 'ICD9 535']",4140
"['ICD9 533', 'ICD9 535']",4218
"['ICD9 533', 'ICD9 535']",4240
"['ICD9 533', 'ICD9 535']",4343
"['ICD9 533', 'ICD9 535']",4363
