edge,protein
"['ICD9 786', 'ICD9 496']",688
"['ICD9 786', 'ICD9 496']",925
"['ICD9 786', 'ICD9 496']",1543
"['ICD9 786', 'ICD9 496']",1544
"['ICD9 786', 'ICD9 496']",1832
"['ICD9 786', 'ICD9 496']",2006
"['ICD9 786', 'ICD9 496']",2052
"['ICD9 786', 'ICD9 496']",2309
"['ICD9 786', 'ICD9 496']",2778
"['ICD9 786', 'ICD9 496']",2919
"['ICD9 786', 'ICD9 496']",2920
"['ICD9 786', 'ICD9 496']",3066
"['ICD9 786', 'ICD9 496']",3162
"['ICD9 786', 'ICD9 496']",3356
"['ICD9 786', 'ICD9 496']",3569
"['ICD9 786', 'ICD9 496']",3576
"['ICD9 786', 'ICD9 496']",4312
"['ICD9 786', 'ICD9 496']",4318
"['ICD9 786', 'ICD9 496']",4323
"['ICD9 786', 'ICD9 496']",4843
"['ICD9 786', 'ICD9 496']",4846
"['ICD9 786', 'ICD9 496']",5173
"['ICD9 786', 'ICD9 496']",5265
"['ICD9 786', 'ICD9 496']",6441
"['ICD9 786', 'ICD9 496']",6649
"['ICD9 786', 'ICD9 496']",7040
"['ICD9 786', 'ICD9 496']",7124
"['ICD9 786', 'ICD9 496']",7139
"['ICD9 786', 'ICD9 496']",7157
"['ICD9 786', 'ICD9 496']",7356
"['ICD9 786', 'ICD9 496']",10144
"['ICD9 786', 'ICD9 496']",10411
"['ICD9 786', 'ICD9 496']",23255
"['ICD9 786', 'ICD9 496']",59341
"['ICD9 786', 'ICD9 496']",60678
