GO Term,TFIDF(Count),TFIDF(RR),TFIDF(Corr),RR_idx,Corr_idx,Count_idx,average of idx (value),idx,ONTOLOGY,ID,Description
GO:0016485,4.2050405713598025,8.723017438881048,0.0872601276232343,1,0,1,0.6666666666666666,0,BP,GO:0016485,protein processing
GO:0004222,5.661208947097139,9.835233751907978,0.07546123292374954,0,2,0,0.6666666666666666,0,MF,GO:0004222,metalloendopeptidase activity
GO:0070918,3.7632135406180844,7.366106292172092,0.08424557847807063,3,1,3,2.3333333333333335,2,BP,GO:0070918,regulatory ncRNA processing
GO:0005759,4.196316727397148,8.571765766821441,0.0661418779594777,2,4,2,2.6666666666666665,3,CC,GO:0005759,mitochondrial matrix
GO:0016486,3.4965075614664802,7.310293478668647,0.06662633581680973,4,3,4,3.6666666666666665,4,BP,GO:0016486,peptide hormone processing
GO:0003081,3.4965075614664802,4.814157918648681,0.04208608075954942,5,5,4,4.666666666666667,5,BP,GO:0003081,regulation of systemic arterial blood pressure by renin-angiotensin
GO:0097066,2.538947935904157,4.588393383081276,0.0364174680799179,6,6,6,6.0,6,BP,GO:0097066,response to thyroid hormone
GO:1903829,1.7782545531723857,3.6600414666839427,0.02845848345470667,8,7,7,7.333333333333333,7,BP,GO:1903829,positive regulation of protein localization
GO:0098801,1.7482537807332401,3.9419632095505324,0.02475690483754841,7,8,8,7.666666666666667,8,BP,GO:0098801,regulation of renal system process
GO:0009408,1.2848735079154951,3.0236147435129306,0.021035509958643783,10,10,11,10.333333333333334,9,BP,GO:0009408,response to heat
GO:0042176,1.2973950102458147,2.71492258833883,0.021772292008017478,13,9,10,10.666666666666666,10,BP,GO:0042176,regulation of protein catabolic process
GO:0005788,1.0510041971379431,3.0674038561117056,0.018075570791780408,9,13,13,11.666666666666666,11,CC,GO:0005788,endoplasmic reticulum lumen
GO:0005925,1.1655025204888267,2.8477313545399765,0.018404306492413734,12,12,12,12.0,12,CC,GO:0005925,focal adhesion
GO:0008237,1.7482537807332401,2.4746440354636317,0.01707351109736803,14,15,8,12.333333333333334,13,MF,GO:0008237,metallopeptidase activity
GO:0050660,1.0189148212840435,2.9856599339325602,0.01768499383354361,11,14,14,13.0,14,MF,GO:0050660,flavin adenine dinucleotide binding
GO:0043122,0.9704259688182267,2.3501846538255395,0.018688191387323326,15,11,15,13.666666666666666,15,BP,GO:0043122,regulation of canonical NF-kappaB signal transduction
GO:0032386,0.81080934577626,2.053267519370508,0.01683085180481525,18,18,20,18.666666666666668,16,BP,GO:0032386,regulation of intracellular transport
GO:1990204,0.8165205212159337,1.8773695738984277,0.013822730172551681,19,19,19,19.0,17,CC,GO:1990204,oxidoreductase complex
GO:0007249,0.7930593392006626,1.764601799252892,0.013063804350414796,20,20,21,20.333333333333332,18,BP,GO:0007249,canonical NF-kappaB signal transduction
GO:0006913,0.5827512602444134,2.1214771352715895,0.017005454049488344,16,16,33,21.666666666666668,19,BP,GO:0006913,nucleocytoplasmic transport
GO:0051169,0.5827512602444134,2.1214771352715895,0.017005454049488344,16,16,33,21.666666666666668,19,BP,GO:0051169,nuclear transport
GO:0033157,0.8326404153571725,1.6076633406624876,0.012096491415133453,27,21,18,22.0,21,BP,GO:0033157,regulation of intracellular protein transport
GO:1990778,0.7031530662222585,1.696842419322403,0.011241155965074008,21,23,23,22.333333333333332,22,BP,GO:1990778,protein localization to cell periphery
GO:0034605,0.8741268903666201,1.4001521652975513,0.011844028986994663,28,22,17,22.333333333333332,22,BP,GO:0034605,cellular response to heat
GO:0045732,0.7436728368497563,1.6522583938570974,0.011201485843092681,22,24,22,22.666666666666668,24,BP,GO:0045732,positive regulation of protein catabolic process
GO:0034976,0.6727768390773718,1.6365721703622365,0.010635552108038857,23,25,27,25.0,25,BP,GO:0034976,response to endoplasmic reticulum stress
GO:0072659,0.6727768390773718,1.6365721703622365,0.010635552108038857,23,25,27,25.0,25,BP,GO:0072659,protein localization to plasma membrane
GO:0043123,0.6702163478716383,1.6244502575895376,0.010533762911055122,26,27,29,27.333333333333332,27,BP,GO:0043123,positive regulation of canonical NF-kappaB signal transduction
GO:1902117,0.6492963693374122,1.6264086360437764,0.010315429223246523,25,28,30,27.666666666666668,28,BP,GO:1902117,positive regulation of organelle assembly
GO:0006839,0.5316819780873254,1.1491267079330516,0.00966548973272692,31,29,36,32.0,29,BP,GO:0006839,mitochondrial transport
GO:0030674,0.5705821095934832,1.263811399138139,0.008595613321197692,29,32,35,32.0,29,MF,GO:0030674,protein-macromolecule adaptor activity
GO:0072594,0.49990903622035593,1.0559576808978044,0.009295201387783237,34,30,37,33.666666666666664,31,BP,GO:0072594,establishment of protein localization to organelle
GO:0007040,0.45027346324852,0.9150943180637809,0.00584877585846189,37,35,38,36.666666666666664,32,BP,GO:0007040,lysosome organization
GO:0080171,0.45027346324852,0.9150943180637809,0.00584877585846189,37,35,38,36.666666666666664,32,BP,GO:0080171,lytic vacuole organization
GO:0005635,0.40354577011975584,1.0908807140405625,0.006734243684074798,32,34,48,38.0,34,CC,GO:0005635,nuclear envelope
GO:0034504,0.39203551629968353,1.060344656199149,0.006799137011149753,33,33,49,38.333333333333336,35,BP,GO:0034504,protein localization to nucleus
GO:0006605,0.43706344518331003,0.8087052912700151,0.008840180745294097,45,31,41,39.0,36,BP,GO:0006605,protein targeting
GO:0050792,0.9110921237946239,1.2060645230162619,0.0034338621114666885,30,74,16,40.0,37,BP,GO:0050792,regulation of viral process
GO:0019867,0.3638241098779377,0.9596300830893802,0.005552828316955461,35,37,53,41.666666666666664,38,CC,GO:0019867,outer membrane
GO:0031968,0.3638241098779377,0.9596300830893802,0.005552828316955461,35,37,53,41.666666666666664,38,CC,GO:0031968,organelle outer membrane
GO:0048640,0.6993015122932961,0.8921305235066093,0.0033822200026209603,39,78,24,47.0,40,BP,GO:0048640,negative regulation of developmental growth
GO:0035196,0.6993015122932961,0.8921305235066093,0.0033822200026209603,39,78,24,47.0,40,BP,GO:0035196,miRNA processing
GO:0034655,0.6993015122932961,0.8921305235066093,0.0033822200026209603,39,78,24,47.0,40,BP,GO:0034655,nucleobase-containing compound catabolic process
GO:0036296,0.24529403332932181,0.7241899003267608,0.005168714384686623,47,39,61,49.0,43,BP,GO:0036296,response to increased oxygen levels
GO:0005777,0.589919925036162,0.8346874107635845,0.0031549913695695713,43,81,31,51.666666666666664,44,CC,GO:0005777,peroxisome
GO:0042579,0.589919925036162,0.8346874107635845,0.0031549913695695713,43,81,31,51.666666666666664,44,CC,GO:0042579,microbody
GO:0046785,0.2923290236774194,0.8883408849869835,0.005081840119710834,42,54,59,51.666666666666664,44,BP,GO:0046785,microtubule polymerization
GO:0005741,0.30442844332918445,0.8033005437662496,0.004920211896172426,46,55,58,53.0,47,CC,GO:0005741,mitochondrial outer membrane
GO:0140694,0.21853172259165501,0.7117236078518672,0.005108247812382335,51,40,77,56.0,48,BP,GO:0140694,non-membrane-bounded organelle assembly
GO:0071867,0.21853172259165501,0.7117236078518672,0.005108247812382335,51,40,77,56.0,48,BP,GO:0071867,response to monoamine
GO:0044291,0.21853172259165501,0.7117236078518672,0.005108247812382335,51,40,77,56.0,48,CC,GO:0044291,cell-cell contact zone
GO:0098901,0.21853172259165501,0.7117236078518672,0.005108247812382335,51,40,77,56.0,48,BP,GO:0098901,regulation of cardiac muscle cell action potential
GO:0071869,0.21853172259165501,0.7117236078518672,0.005108247812382335,51,40,77,56.0,48,BP,GO:0071869,response to catecholamine
GO:0071868,0.21853172259165501,0.7117236078518672,0.005108247812382335,51,40,77,56.0,48,BP,GO:0071868,cellular response to monoamine stimulus
GO:0034394,0.21853172259165501,0.7117236078518672,0.005108247812382335,51,40,77,56.0,48,BP,GO:0034394,protein localization to cell surface
GO:0071870,0.21853172259165501,0.7117236078518672,0.005108247812382335,51,40,77,56.0,48,BP,GO:0071870,cellular response to catecholamine stimulus
GO:0034237,0.21853172259165501,0.7117236078518672,0.005108247812382335,51,40,77,56.0,48,MF,GO:0034237,protein kinase A regulatory subunit binding
GO:0014704,0.21853172259165501,0.7117236078518672,0.005108247812382335,51,40,77,56.0,48,CC,GO:0014704,intercalated disc
GO:0030010,0.21853172259165501,0.7117236078518672,0.005108247812382335,51,40,77,56.0,48,BP,GO:0030010,establishment of cell polarity
GO:1905475,0.21853172259165501,0.7117236078518672,0.005108247812382335,51,40,77,56.0,48,BP,GO:1905475,regulation of protein localization to membrane
GO:0007163,0.21853172259165501,0.7117236078518672,0.005108247812382335,51,40,77,56.0,48,BP,GO:0007163,establishment or maintenance of cell polarity
GO:0010457,0.21853172259165501,0.7117236078518672,0.005108247812382335,51,40,77,56.0,48,BP,GO:0010457,centriole-centriole cohesion
GO:0005811,0.45027346324852,0.6477197393577853,0.004124552820346033,72,62,38,57.333333333333336,62,CC,GO:0005811,lipid droplet
GO:0030135,0.41789167500790736,0.7050088029082098,0.00426101241604814,65,61,47,57.666666666666664,63,CC,GO:0030135,coated vesicle
GO:0031983,0.23955988709564935,0.712440738207553,0.0033900460413366987,48,75,68,63.666666666666664,64,CC,GO:0031983,vesicle lumen
GO:0034774,0.23955988709564935,0.712440738207553,0.0033900460413366987,48,75,68,63.666666666666664,64,CC,GO:0034774,secretory granule lumen
GO:0060205,0.23955988709564935,0.712440738207553,0.0033900460413366987,48,75,68,63.666666666666664,64,CC,GO:0060205,cytoplasmic vesicle lumen
GO:1901186,0.24377046790491608,0.6205486256000831,0.003954416105431604,74,64,62,66.66666666666667,67,BP,GO:1901186,positive regulation of ERBB signaling pathway
GO:1901142,0.24377046790491608,0.6205486256000831,0.003954416105431604,74,64,62,66.66666666666667,67,BP,GO:1901142,insulin metabolic process
GO:0031965,0.24377046790491608,0.6205486256000831,0.003954416105431604,74,64,62,66.66666666666667,67,CC,GO:0031965,nuclear membrane
GO:1902236,0.24377046790491608,0.6205486256000831,0.003954416105431604,74,64,62,66.66666666666667,67,BP,GO:1902236,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:0035966,0.24377046790491608,0.6205486256000831,0.003954416105431604,74,64,62,66.66666666666667,67,BP,GO:0035966,response to topologically incorrect protein
GO:0035967,0.24377046790491608,0.6205486256000831,0.003954416105431604,74,64,62,66.66666666666667,67,BP,GO:0035967,cellular response to topologically incorrect protein
GO:0098852,0.3854535274486974,0.5377502716518291,0.00380647474911131,85,70,50,68.33333333333333,73,CC,GO:0098852,lytic vacuole membrane
GO:0005774,0.3854535274486974,0.5377502716518291,0.00380647474911131,85,70,50,68.33333333333333,73,CC,GO:0005774,vacuolar membrane
GO:0005765,0.3854535274486974,0.5377502716518291,0.00380647474911131,85,70,50,68.33333333333333,73,CC,GO:0005765,lysosomal membrane
GO:0007006,0.23401964918871943,0.6564723513010745,0.004008936808074537,71,63,75,69.66666666666667,76,BP,GO:0007006,mitochondrial membrane organization
GO:0090322,0.2056769153803812,0.6667158589213013,0.0042801904552342935,66,56,94,72.0,77,BP,GO:0090322,regulation of superoxide metabolic process
GO:0098791,0.2056769153803812,0.6667158589213013,0.0042801904552342935,66,56,94,72.0,77,CC,GO:0098791,Golgi apparatus subcompartment
GO:2001234,0.2056769153803812,0.6667158589213013,0.0042801904552342935,66,56,94,72.0,77,BP,GO:2001234,negative regulation of apoptotic signaling pathway
GO:0016661,0.2056769153803812,0.6667158589213013,0.0042801904552342935,66,56,94,72.0,77,MF,GO:0016661,"oxidoreductase activity, acting on other nitrogenous compounds as donors"
GO:0098978,0.2056769153803812,0.6667158589213013,0.0042801904552342935,66,56,94,72.0,77,CC,GO:0098978,glutamatergic synapse
GO:0070585,0.23401964918871943,0.6407738012778986,0.003582401625700206,73,73,75,73.66666666666667,82,BP,GO:0070585,protein localization to mitochondrion
GO:0016050,0.32720505928355476,0.4569739036219772,0.0025512096255290487,97,85,55,79.0,83,BP,GO:0016050,vesicle organization
GO:0045019,0.3124488350236385,0.42378692127521606,0.0023251879728268606,103,88,56,82.33333333333333,84,BP,GO:0045019,negative regulation of nitric oxide biosynthetic process
GO:1904406,0.3124488350236385,0.42378692127521606,0.0023251879728268606,103,88,56,82.33333333333333,84,BP,GO:1904406,negative regulation of nitric oxide metabolic process
GO:0042581,0.2689621201128062,0.34497231121297367,0.0025444246409988343,108,86,60,84.66666666666667,86,CC,GO:0042581,specific granule
GO:0045335,0.43706344518331003,0.5469591906493847,0.00012621483284686215,80,140,41,87.0,87,CC,GO:0045335,phagocytic vesicle
GO:0036035,0.43706344518331003,0.5469591906493847,0.00012621483284686215,80,140,41,87.0,87,BP,GO:0036035,osteoclast development
GO:0098751,0.43706344518331003,0.5469591906493847,0.00012621483284686215,80,140,41,87.0,87,BP,GO:0098751,bone cell development
GO:1904724,0.43706344518331003,0.5469591906493847,0.00012621483284686215,80,140,41,87.0,87,CC,GO:1904724,tertiary granule lumen
GO:0002832,0.43706344518331003,0.5469591906493847,0.00012621483284686215,80,140,41,87.0,87,BP,GO:0002832,negative regulation of response to biotic stimulus
GO:0007041,0.23498756134069482,0.31807986710625713,0.0021324954516403513,109,96,71,92.0,92,BP,GO:0007041,lysosomal transport
GO:0007034,0.23498756134069482,0.31807986710625713,0.0021324954516403513,109,96,71,92.0,92,BP,GO:0007034,vacuolar transport
GO:0071825,0.23498756134069482,0.31807986710625713,0.0021324954516403513,109,96,71,92.0,92,BP,GO:0071825,protein-lipid complex organization
GO:0071827,0.23498756134069482,0.31807986710625713,0.0021324954516403513,109,96,71,92.0,92,BP,GO:0071827,plasma lipoprotein particle organization
GO:0030139,0.18221842475892477,0.4722844586574862,0.0025300578866143722,96,87,108,97.0,96,CC,GO:0030139,endocytic vesicle
GO:0010821,0.15893216188484002,0.48611228181409666,0.0018957222155844497,88,100,109,99.0,97,BP,GO:0010821,regulation of mitochondrion organization
GO:0031970,0.15893216188484002,0.48611228181409666,0.0018957222155844497,88,100,109,99.0,97,CC,GO:0031970,organelle envelope lumen
GO:1902905,0.15893216188484002,0.48611228181409666,0.0018957222155844497,88,100,109,99.0,97,BP,GO:1902905,positive regulation of supramolecular fiber organization
GO:0051087,0.15893216188484002,0.48611228181409666,0.0018957222155844497,88,100,109,99.0,97,MF,GO:0051087,protein-folding chaperone binding
GO:1903828,0.15893216188484002,0.48611228181409666,0.0018957222155844497,88,100,109,99.0,97,BP,GO:1903828,negative regulation of protein localization
GO:1903076,0.15893216188484002,0.48611228181409666,0.0018957222155844497,88,100,109,99.0,97,BP,GO:1903076,regulation of protein localization to plasma membrane
GO:0042575,0.15893216188484002,0.48611228181409666,0.0018957222155844497,88,100,109,99.0,97,CC,GO:0042575,DNA polymerase complex
GO:2000377,0.15893216188484002,0.48611228181409666,0.0018957222155844497,88,100,109,99.0,97,BP,GO:2000377,regulation of reactive oxygen species metabolic process
GO:1990351,0.15202206788984696,0.4050492575226496,0.002761250371352968,105,83,117,101.66666666666667,105,CC,GO:1990351,transporter complex
GO:0048048,0.15202206788984696,0.4050492575226496,0.002761250371352968,105,83,117,101.66666666666667,105,BP,GO:0048048,embryonic eye morphogenesis
GO:0044389,0.1398603024586592,0.43835888852572463,0.002287120932894172,98,90,120,102.66666666666667,107,MF,GO:0044389,ubiquitin-like protein ligase binding
GO:2001057,0.1398603024586592,0.43835888852572463,0.002287120932894172,98,90,120,102.66666666666667,107,BP,GO:2001057,reactive nitrogen species metabolic process
GO:0046209,0.1398603024586592,0.43835888852572463,0.002287120932894172,98,90,120,102.66666666666667,107,BP,GO:0046209,nitric oxide metabolic process
GO:0031625,0.1398603024586592,0.43835888852572463,0.002287120932894172,98,90,120,102.66666666666667,107,MF,GO:0031625,ubiquitin protein ligase binding
GO:0051018,0.1398603024586592,0.43835888852572463,0.002287120932894172,98,90,120,102.66666666666667,107,MF,GO:0051018,protein kinase A binding
GO:0042157,0.21762929272827047,0.2888506548916221,0.0012032554467970961,113,111,91,105.0,112,BP,GO:0042157,lipoprotein metabolic process
GO:0061136,0.21762929272827047,0.2888506548916221,0.0012032554467970961,113,111,91,105.0,112,BP,GO:0061136,regulation of proteasomal protein catabolic process
GO:0046479,0.21762929272827047,0.2888506548916221,0.0012032554467970961,113,111,91,105.0,112,BP,GO:0046479,glycosphingolipid catabolic process
GO:0001618,0.2056769153803812,0.270565268201081,0.0018687206883255703,116,108,94,106.0,115,MF,GO:0001618,virus receptor activity
GO:0031902,0.2056769153803812,0.270565268201081,0.0018687206883255703,116,108,94,106.0,115,CC,GO:0031902,late endosome membrane
GO:0034375,0.2056769153803812,0.270565268201081,0.0018687206883255703,116,108,94,106.0,115,BP,GO:0034375,high-density lipoprotein particle remodeling
GO:0072655,0.15202206788984696,0.38094181501331054,0.002176175391506881,107,95,117,106.33333333333333,118,BP,GO:0072655,establishment of protein localization to mitochondrion
GO:0016236,0.18402671376139368,0.23618279784802043,0.0007993461115437362,119,114,102,111.66666666666667,119,BP,GO:0016236,macroautophagy
GO:0030136,0.18402671376139368,0.23618279784802043,0.0007993461115437362,119,114,102,111.66666666666667,119,CC,GO:0030136,clathrin-coated vesicle
GO:0034377,0.18402671376139368,0.23618279784802043,0.0007993461115437362,119,114,102,111.66666666666667,119,BP,GO:0034377,plasma lipoprotein particle assembly
GO:0140272,0.18402671376139368,0.23618279784802043,0.0007993461115437362,119,114,102,111.66666666666667,119,MF,GO:0140272,exogenous protein binding
GO:0090205,0.18402671376139368,0.23618279784802043,0.0007993461115437362,119,114,102,111.66666666666667,119,BP,GO:0090205,positive regulation of cholesterol metabolic process
GO:0035578,0.18402671376139368,0.23618279784802043,0.0007993461115437362,119,114,102,111.66666666666667,119,CC,GO:0035578,azurophil granule lumen
GO:0042158,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,BP,GO:0042158,lipoprotein biosynthetic process
GO:0005782,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,CC,GO:0005782,peroxisomal matrix
GO:0006622,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,BP,GO:0006622,protein targeting to lysosome
GO:0006635,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,BP,GO:0006635,fatty acid beta-oxidation
GO:0006664,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,BP,GO:0006664,glycolipid metabolic process
GO:0097006,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,BP,GO:0097006,regulation of plasma lipoprotein particle levels
GO:0016242,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,BP,GO:0016242,negative regulation of macroautophagy
GO:0019377,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,BP,GO:0019377,glycolipid catabolic process
GO:0051701,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,BP,GO:0051701,biological process involved in interaction with host
GO:0030149,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,BP,GO:0030149,sphingolipid catabolic process
GO:1903509,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,BP,GO:1903509,liposaccharide metabolic process
GO:0030662,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,CC,GO:0030662,coated vesicle membrane
GO:0048259,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,BP,GO:0048259,regulation of receptor-mediated endocytosis
GO:0031907,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,CC,GO:0031907,microbody lumen
GO:0044242,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,BP,GO:0044242,cellular lipid catabolic process
GO:1901800,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,BP,GO:1901800,positive regulation of proteasomal protein catabolic process
GO:0034369,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,BP,GO:0034369,plasma lipoprotein particle remodeling
GO:0044000,0.08741268903666201,0.10788878500413576,0.0006270119734083654,125,120,125,123.33333333333333,125,BP,GO:0044000,movement in host
