ICD,Protein,Protein_PPI,Protein_Num,Protein_PPI_Num
002,[3123],[3123],1,1
005,[3240],[3240],1,1
010,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
011,"[3458, 3459, 3240, 6347, 11151, 114609, 30835, 50807, 6556]","[3458, 3459, 3240, 6347, 11151, 114609, 30835, 50807, 6556]",9,9
012,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
013,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
014,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
015,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
016,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
017,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
018,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
023,[4864],[4864],1,1
025,[7100],[7100],1,1
027,"[7124, 1540, 999]","[7124, 1540, 999]",3,3
030,"[283234, 10981, 5071, 4049, 149233, 55509, 7096, 7097, 6556]","[283234, 10981, 5071, 4049, 149233, 55509, 7096, 7097, 6556]",9,9
031,"[3459, 3460, 3594, 6772, 6556]","[3459, 3460, 3594, 6772, 6556]",5,5
036,"[3075, 1636, 1675, 5199, 6556, 10878, 735]","[3075, 1636, 1675, 5199, 6556, 10878, 735]",7,7
038,"[7040, 3458, 3586, 133, 7045, 135, 136, 284, 1440, 4282, 7099, 836, 3146, 4049, 7124, 3929, 5594, 5595, 4318, 4843, 4846, 3440, 5624, 3579]","[7040, 3586, 3458, 133, 7045, 135, 136, 284, 1440, 4282, 7099, 836, 3146, 4049, 7124, 3929, 5594, 5595, 4318, 4843, 4846, 3440, 5624, 3579]",24,24
040,"[358, 4843, 2638, 3122, 7124, 728]","[358, 4843, 2638, 3122, 7124, 728]",6,6
041,"[3459, 5243]","[5243, 3459]",2,2
042,"[3586, 1026, 9230, 3608, 3106, 3107, 7203, 10280, 5685, 4150, 5687, 5686, 4153, 10808, 5692, 6722, 5699, 581, 5702, 5705, 5709, 5714, 5719, 5720, 5721, 5727, 4193, 7266, 3692, 1647, 30835, 9861, 7307, 729230, 5265, 154, 23198, 2208, 1192, 3240, 10946, 10436, 6347, 6348, 6349, 6352, 1232, 1234, 6356, 213, 6880, 3811, 10980, 10981, 3313, 6387, 3315, 3320, 3837, 3326, 3329, 5901, 5902, 6421, 6426, 10527, 9531, 4927, 329, 330, 10574, 335, 4953, 10594, 5479, 4968, 7528, 23411, 85363, 3458, 393, 396, 397, 80273, 2971, 6556, 64411, 22948, 940, 1973, 1978, 7098, 10189, 10197, 8662, 10204, 4067, 998, 3558, 3559, 6634, 8683, 3566, 1524, 3577, 3068]","[1026, 3586, 9230, 3608, 3106, 7203, 3107, 10280, 5685, 5686, 5687, 10808, 4153, 4150, 5692, 6722, 5699, 581, 5702, 5705, 5709, 5714, 5719, 5720, 5721, 5727, 4193, 7266, 3692, 1647, 30835, 9861, 7307, 729230, 5265, 154, 23198, 2208, 1192, 3240, 10946, 10436, 6347, 6348, 6349, 6352, 1232, 1234, 6356, 213, 6880, 3811, 10980, 10981, 3313, 3315, 6387, 3320, 3837, 3326, 3329, 5901, 5902, 6421, 6426, 10527, 9531, 4927, 329, 330, 10574, 335, 4953, 10594, 5479, 7528, 4968, 23411, 85363, 3458, 393, 396, 397, 80273, 64411, 2971, 6556, 22948, 940, 1973, 7098, 1978, 10189, 10197, 8662, 10204, 4067, 998, 3558, 3559, 6634, 8683, 3566, 1524, 3577, 3068]",106,106
045,[5817],[5817],1,1
046,"[79974, 8360, 3822, 3119, 7280, 22926, 692157, 151507, 780851, 5621, 216, 79644, 319101]","[79974, 8360, 22926, 3119, 7280, 3822, 151507, 5621, 216, 79644, 319101]",13,11
054,"[7098, 3661, 7187, 81622, 29110, 148022, 5818, 5819]","[3661, 7187, 81622, 29110, 148022, 7098, 5819, 5818]",8,8
055,[4179],[4179],1,1
061,[30835],[30835],1,1
066,[1234],[1234],1,1
070,"[3458, 23586, 3077, 1576, 4988, 1548, 975, 3440, 4015, 1234, 4017, 949, 4023, 282617, 5788]","[3458, 23586, 3077, 4988, 1576, 1548, 4015, 975, 4017, 1234, 3440, 949, 4023, 282617, 5788]",15,15
078,"[6772, 147138, 11322, 7415]","[147138, 11322, 6772, 7415]",4,4
079,"[4938, 1636, 2214]","[4938, 1636, 2214]",3,3
