ID,Detail,Detail_extend,color
011,Pulmonary tuberculosis,001-139:Infectious And Parasitic Diseases,#FFB09B
037,Tetanus,001-139:Infectious And Parasitic Diseases,#FFB09B
038,Septicemia,001-139:Infectious And Parasitic Diseases,#FFB09B
039,Actinomycotic infections,001-139:Infectious And Parasitic Diseases,#FFB09B
041,Bacterial infection in conditions classified elsewhere and of unspecified site,001-139:Infectious And Parasitic Diseases,#FFB09B
050,Smallpox,001-139:Infectious And Parasitic Diseases,#FFB09B
079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,001-139:Infectious And Parasitic Diseases,#FFB09B
093,Cardiovascular syphilis,001-139:Infectious And Parasitic Diseases,#FFB09B
154,Malignant neoplasm of rectum rectosigmoid junction and anus,140-239:Neoplasms,#CBCD84
155,Malignant neoplasm of liver and intrahepatic bile ducts,140-239:Neoplasms,#CBCD84
162,Malignant neoplasm of trachea bronchus and lung,140-239:Neoplasms,#CBCD84
197,Secondary malignant neoplasm of respiratory and digestive systems,140-239:Neoplasms,#CBCD84
198,Secondary malignant neoplasm of other specified sites,140-239:Neoplasms,#CBCD84
218,Uterine leiomyoma,140-239:Neoplasms,#CBCD84
241,Nontoxic nodular goiter,"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",#FFBF74
250,Diabetes mellitus,"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",#FFBF74
251,Other disorders of pancreatic internal secretion,"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",#FFBF74
266,Deficiency of b-complex components,"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",#FFBF74
272,Disorders of lipoid metabolism,"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",#FFBF74
274,Gout,"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",#FFBF74
276,Disorders of fluid electrolyte and acid-base balance,"240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",#FFBF74
278,"Overweight, obesity and other hyperalimentation","240-279:Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",#FFBF74
280,Iron deficiency anemias,280-289:Diseases Of The Blood And Blood-Forming Organs,#FFADC9
281,Other deficiency anemias,280-289:Diseases Of The Blood And Blood-Forming Organs,#FFADC9
285,Other and unspecified anemias,280-289:Diseases Of The Blood And Blood-Forming Organs,#FFADC9
294,Persistent mental disorders due to conditions classified elsewhere,290-319:Mental Disorders,#FFBAF6
